Zone_Index,Depot_ID,Num_Customers,Medoid_Customer_ID,Total_Weight,Total_Volume,Total_Service
45,D001_4,41,C001454,424.96,7.749,335
46,D001_4,37,C036852,390.29,6.612,341
47,D001_4,89,C010010,908.36,7.073,776
48,D001_4,40,C003622,472.04,4.526,377
49,D001_4,41,C011120,498.81,5.331,339
50,D001_4,40,C027995,504.59,4.772,350
51,D001_4,51,C022444,877.17,8.063,458
52,D001_4,29,C036690,591.02,4.198,258
53,D001_4,52,C028832,919.45,3.73,389
54,D001_4,46,C023357,879.85,3.066,441
55,D001_4,20,C042841,414.78,3.325,186
56,D001_4,10,C039916,204.78,2.027,109
57,D001_4,32,C001543,598.72,5.182,300
58,D001_4,20,C014157,404.76,3.237,172
59,D001_4,37,C044448,370.31,4.603,340
60,D001_4,53,C033696,606.72,7.38,445
61,D001_4,44,C005320,535.19,5.547,425
62,D001_4,100,C012589,697.71,6.495,931
63,D001_4,32,C009433,632.38,2.161,321
64,D001_4,39,C000391,725.33,2.644,381
65,D001_4,19,C020249,336.01,1.176,192
66,D001_4,17,C027695,159.7,3.659,128
67,D001_4,33,C009375,280.2,6.023,279
68,D001_4,36,C023925,351.27,6.696,331
69,D001_4,39,C034496,461.54,7.182,396
70,D001_4,13,C004567,115.94,2.579,122
71,D001_4,21,C045226,216.41,4.367,155
72,D001_4,23,C002346,193.85,4.466,209
73,D001_4,26,C025362,275.81,4.718,222
74,D001_4,46,C045278,311.57,5.337,413
75,D001_4,58,C032703,369.66,6.977,533
76,D001_4,91,C016647,583.08,7.614,853
77,D001_4,60,C023246,783.18,8.69,505
78,D001_4,40,C035659,609.5,8.043,349
79,D001_4,23,C013042,365.3,4.708,210
80,D001_4,38,C029072,558.15,7.173,348
81,D001_4,38,C039329,631.85,7.764,359
82,D001_4,40,C001365,208.45,4.284,380
83,D001_4,64,C032149,361.27,5.527,580
84,D001_4,21,C013121,215.99,2.961,195
85,D001_4,17,C024354,263.44,2.08,145
86,D001_4,50,C032561,599.61,7.122,414
87,D001_4,49,C020996,618.79,6.942,401
88,D001_4,34,C048235,448.92,4.82,266
89,D001_4,37,C022623,531.34,4.756,351
90,D001_4,61,C029309,739.01,6.722,532
91,D001_4,32,C015337,441.98,4.857,282
92,D001_4,48,C002511,909.14,3.704,448
93,D001_4,5,C025121,105.86,0.305,32
94,D001_4,19,C016050,365.99,2.082,182
95,D001_4,36,C017440,719.41,2.67,287
96,D001_4,9,C004270,128.9,1.748,86
97,D001_4,40,C033463,432.24,7.759,379
98,D001_4,38,C048997,400.58,7.373,356
99,D001_4,19,C039263,228.78,3.75,174
100,D001_3,5,C031544,55.96,0.672,37
101,D001_3,3,C042922,41.27,0.399,27
102,D001_3,4,C004275,35.97,0.456,38
103,D001_3,2,C013933,8.19,0.41,13
104,D001_3,2,C020560,29.15,0.383,20
105,D001_3,1,C010286,6.42,0.027,12
106,D001_3,1,C040790,13.09,0.008,3
107,D001_3,2,C021198,21.43,0.222,11
108,D001_3,2,C032717,38.93,0.371,23
109,D001_3,3,C032287,45.09,0.486,39
110,D001_3,1,C034563,6.59,0.197,4
111,D001_3,3,C036881,58.29,0.419,37
112,D001_3,4,C048773,69.29,0.299,27
113,D001_3,2,C024114,36.46,0.114,25
114,D001_3,1,C029029,5.37,0.172,8
115,D001_3,4,C032086,29.51,0.534,34
116,D001_3,2,C044425,28.98,0.36,12
117,D001_3,2,C026262,41.11,0.37,25
118,D001_3,4,C043883,39.88,0.356,28
119,D001_3,2,C029046,21.22,0.227,17
120,D001_3,2,C015751,9.09,0.146,9
121,D001_3,3,C009821,42.31,0.368,34
122,D001_3,3,C047742,36.62,0.543,27
123,D001_3,5,C020748,28.04,0.691,42
124,D001_3,3,C033302,54.34,0.396,19
125,D001_3,3,C004072,43.97,0.44,21
126,D001_3,4,C020416,62.71,0.492,34
127,D001_3,3,C023630,46.72,0.356,33
128,D001_3,3,C019807,52.77,0.356,24
129,D001_3,4,C035017,21.28,0.642,44
130,D001_3,2,C003105,18.67,0.32,20
131,D001_3,4,C034949,7.26,0.479,46
132,D001_3,2,C042976,9.72,0.297,12
133,D001_3,4,C010898,16.46,0.599,44
134,D001_3,4,C002022,48.49,0.458,34
135,D001_3,4,C006599,17.05,0.484,32
136,D001_3,2,C027701,10.63,0.276,18
137,D001_3,5,C011445,33.7,0.675,51
138,D001_3,1,C008554,3.21,0.075,5
139,D001_3,5,C007652,19.75,0.626,50
140,D001_3,4,C019255,21.96,0.491,48
141,D001_3,3,C029454,13.51,0.379,33
142,D001_3,2,C015464,17.74,0.342,14
143,D001_3,2,C014460,12.13,0.216,16
144,D001_3,4,C012526,17.54,0.665,35
145,D001_3,2,C009877,25.74,0.304,26
146,D001_3,5,C030420,40.23,0.523,53
147,D001_3,5,C044397,33.73,0.555,44
148,D001_3,2,C017090,24.05,0.156,21
149,D001_3,5,C038810,27.38,0.549,49
150,D001_3,4,C042749,26.59,0.641,28
151,D001_3,3,C018357,36.29,0.482,32
152,D001_3,3,C048816,18.05,0.434,31
153,D001_3,3,C012418,33.5,0.366,31
154,D001_3,4,C007717,57.04,0.252,26
155,D001_3,5,C044980,47.17,0.565,41
156,D001_3,3,C008276,22.85,0.144,20
157,D001_3,3,C024968,12.6,0.586,19
158,D001_3,4,C021487,31.85,0.605,34
159,D001_3,2,C006085,17.18,0.393,16
160,D001_3,1,C012222,7.18,0.177,7
161,D001_3,1,C022105,1.59,0.246,7
162,D001_3,2,C008368,17.66,0.278,17
163,D001_3,2,C044147,16.99,0.37,11
164,D001_3,6,C016987,46.87,0.669,50
165,D001_3,8,C047023,43.1,0.419,63
166,D001_3,7,C012031,38.3,0.455,73
167,D001_3,2,C043266,11.38,0.101,12
168,D001_3,4,C040612,29.94,0.233,28
169,D001_3,2,C028465,17.66,0.119,22
170,D001_3,1,C044840,7.62,0.069,12
171,D001_3,4,C032696,42.17,0.271,33
172,D001_3,4,C033790,38.97,0.161,44
173,D001_3,4,C046634,41.15,0.157,48
174,D001_3,5,C037165,45.79,0.322,31
175,D001_3,6,C029499,28.19,0.23,57
176,D001_3,5,C034152,22.66,0.486,50
177,D001_3,7,C009923,58.88,0.529,83
178,D001_3,3,C008878,15.84,0.067,20
179,D001_3,9,C044339,46.87,0.578,103
180,D001_3,8,C022542,47.84,0.661,64
181,D001_3,8,C041558,68.66,0.55,66
182,D001_3,4,C045130,50.3,0.487,37
183,D001_3,4,C034980,31.07,0.687,31
184,D001_3,1,C041922,21.38,0.189,15
185,D001_3,2,C016529,25.49,0.404,22
186,D001_3,3,C009102,29.11,0.534,22
187,D001_3,3,C046760,46.69,0.187,29
188,D001_3,1,C028864,11.64,0.041,8
189,D001_3,2,C040592,20.72,0.34,15
190,D001_3,1,C017936,0.38,0.25,3
191,D001_3,2,C003180,28.36,0.429,10
192,D001_3,3,C030738,41.2,0.293,39
193,D001_3,4,C005847,66.51,0.614,42
194,D001_3,1,C018622,8.75,0.234,11
195,D001_3,2,C011459,10.97,0.367,19
196,D001_3,4,C007948,25.26,0.495,29
197,D001_3,5,C024451,39.39,0.552,45
198,D001_3,4,C041435,53.74,0.364,24
199,D001_3,6,C001968,42.37,0.479,51
200,D001_3,2,C037375,39.01,0.423,14
201,D001_3,3,C010353,38.87,0.576,38
202,D001_3,5,C001638,52.48,0.511,52
203,D001_3,3,C044405,38.76,0.534,23
204,D001_3,6,C043809,70.89,0.58,57
205,D001_3,5,C039663,64.31,0.69,57
206,D001_3,1,C028078,23.75,0.07,8
207,D001_3,4,C028284,54.73,0.573,24
208,D001_3,4,C043053,59.63,0.507,47
209,D001_3,3,C012816,17.78,0.48,27
210,D001_3,2,C006411,30.12,0.244,11
211,D001_3,3,C043796,49.77,0.519,21
212,D001_3,4,C026710,50.05,0.566,40
213,D001_3,3,C014151,26.17,0.408,36
214,D001_3,5,C024228,76.34,0.566,44
215,D001_3,3,C017618,49.51,0.311,35
216,D001_3,3,C001331,43.05,0.395,27
217,D001_3,3,C005048,56.84,0.294,32
218,D001_3,5,C029222,59.65,0.652,44
219,D001_3,1,C007156,23.39,0.006,13
220,D001_3,2,C018037,30.82,0.299,14
221,D001_3,3,C038027,49.64,0.54,34
222,D001_3,4,C036561,69.98,0.097,32
223,D001_3,3,C033411,44.33,0.108,26
224,D001_3,5,C019439,32.76,0.301,46
225,D001_3,10,C020621,68.66,0.618,95
226,D001_3,4,C016431,43.88,0.2,25
227,D001_3,1,C035406,6.7,0.054,7
228,D001_3,3,C038192,64.55,0.206,21
229,D001_3,3,C027164,22.76,0.26,24
230,D001_3,10,C024071,59.28,0.606,102
231,D001_3,1,C024736,8.9,0.06,13
232,D001_3,7,C015540,75.09,0.315,72
233,D001_3,3,C005129,27.96,0.16,39
234,D001_3,2,C004264,14.72,0.045,23
235,D001_3,2,C023412,40.26,0.114,12
236,D001_3,3,C041073,39.44,0.125,24
237,D001_3,5,C047624,62.43,0.334,51
238,D001_3,7,C021824,76.93,0.257,57
239,D001_3,2,C015721,38.44,0.196,22
240,D001_3,5,C024588,68.61,0.135,39
241,D001_3,2,C013237,38.5,0.155,19
242,D001_3,3,C011969,48.23,0.133,24
243,D001_3,3,C040162,47.6,0.158,29
244,D001_3,2,C014794,15.26,0.035,14
245,D001_3,2,C002106,33.36,0.097,7
246,D001_3,3,C011244,50.29,0.164,37
247,D001_3,4,C005148,53.5,0.182,44
248,D001_3,3,C009037,23.02,0.332,19
249,D001_3,3,C001527,58.87,0.156,11
250,D001_3,4,C036434,54.03,0.251,37
251,D001_3,3,C016759,32.15,0.193,18
252,D001_3,4,C003719,63.71,0.246,27
253,D001_3,1,C041133,18.86,0.009,9
254,D001_3,4,C002622,67.99,0.232,47
255,D001_3,5,C015948,66.21,0.269,39
256,D001_3,5,C044884,62.31,0.313,34
257,D001_3,3,C042683,40.62,0.437,23
258,D001_3,4,C041800,67.63,0.589,37
259,D001_3,1,C020864,20.05,0.193,7
260,D001_3,4,C035713,36.21,0.463,32
261,D001_3,3,C013053,31.19,0.305,31
262,D001_3,1,C004782,23.63,0.157,9
263,D001_3,4,C041041,37.8,0.678,39
264,D001_3,1,C044839,20.15,0.089,3
265,D001_3,5,C028826,59.09,0.682,35
266,D001_3,3,C013517,15.89,0.479,30
267,D001_3,5,C002527,49.41,0.417,37
268,D001_3,5,C032158,38.46,0.175,34
269,D001_3,5,C001179,59.34,0.24,31
270,D001_3,1,C027602,10.62,0.01,4
271,D001_3,6,C006239,77.94,0.484,57
272,D001_3,4,C042484,7.55,0.348,38
273,D001_3,7,C044816,50.53,0.602,62
274,D001_3,7,C008847,55.6,0.564,60
275,D001_3,1,C025227,1.34,0.08,7
276,D001_3,2,C024817,9.43,0.306,20
277,D001_3,4,C010544,31.19,0.397,31
278,D001_3,2,C036276,16.94,0.08,25
279,D001_3,5,C039073,57.97,0.458,52
280,D001_3,2,C034981,10.42,0.301,17
281,D001_3,3,C047886,19.77,0.412,36
282,D001_3,5,C012400,30.22,0.397,30
283,D001_3,4,C043648,43.21,0.229,42
284,D001_3,5,C010843,44.88,0.289,41
285,D001_3,2,C011888,9.99,0.046,22
286,D001_3,2,C016122,9.7,0.107,24
287,D001_3,4,C030956,39.46,0.401,43
288,D001_3,8,C010597,58.25,0.622,84
289,D001_3,4,C039240,40.19,0.404,30
290,D001_3,3,C026827,39.11,0.196,31
291,D001_3,6,C024813,47.76,0.4,65
292,D001_3,4,C044518,27.62,0.321,34
293,D001_3,3,C010798,25.19,0.192,29
294,D001_3,5,C001246,47.16,0.368,32
295,D001_3,7,C031013,38.26,0.321,71
296,D001_3,1,C018273,24.01,0.199,8
297,D001_3,2,C012141,39.38,0.354,23
298,D001_3,2,C004917,17.39,0.426,8
299,D001_3,2,C011853,39.99,0.365,12
300,D001_3,3,C034289,51.4,0.644,36
301,D001_3,1,C025320,12.46,0.218,13
302,D001_3,2,C018153,33.14,0.379,17
303,D001_3,1,C017051,5.86,0.233,14
304,D001_3,2,C047131,37.18,0.397,19
305,D001_3,3,C020752,69.44,0.637,37
306,D001_3,2,C005986,43.48,0.366,24
307,D001_3,3,C010720,45.99,0.626,30
308,D001_3,2,C001884,36.48,0.341,13
309,D001_3,2,C022115,31.18,0.407,23
310,D001_3,3,C031982,54.55,0.573,22
311,D001_3,1,C046084,14.09,0.118,13
312,D001_3,2,C042294,25.66,0.317,16
313,D001_3,3,C022804,47.23,0.519,38
314,D001_3,1,C003616,21.79,0.246,3
315,D001_3,3,C001155,31.34,0.616,28
316,D001_3,3,C000940,57.93,0.588,30
317,D001_3,2,C001087,42.19,0.464,22
318,D001_3,1,C018692,19.55,0.172,6
319,D001_3,2,C039570,28.17,0.391,13
320,D001_3,2,C030930,46.72,0.335,16
321,D001_3,2,C012334,26.37,0.348,17
322,D001_3,3,C013393,53.11,0.547,20
323,D001_3,2,C019415,42.49,0.322,7
324,D001_3,3,C032243,50.65,0.59,27
325,D001_3,2,C007358,42.91,0.336,11
326,D001_3,2,C031614,44.02,0.367,22
327,D001_3,3,C021620,52.18,0.65,25
328,D001_3,2,C015997,35.98,0.289,13
329,D001_3,3,C021695,44.44,0.519,31
330,D001_3,3,C023330,59.7,0.644,34
331,D001_3,1,C032860,14.04,0.216,9
332,D001_3,3,C014601,60.67,0.589,15
333,D001_3,3,C036552,57.28,0.635,24
334,D001_3,3,C038308,37.08,0.553,21
335,D001_3,1,C019095,0.92,0.235,3
336,D001_3,2,C030922,23.5,0.463,10
337,D001_3,2,C016707,27.09,0.26,12
338,D001_3,3,C023831,36.47,0.556,25
339,D001_3,1,C033620,21.11,0.184,14
340,D001_3,1,C017572,22.88,0.15,15
341,D001_3,3,C022064,48.97,0.641,21
342,D001_3,2,C041484,31.75,0.474,21
343,D001_3,1,C018565,14.24,0.249,8
344,D001_3,3,C023841,43.93,0.619,16
345,D001_3,2,C015082,9.61,0.439,14
346,D001_3,2,C008721,18.13,0.469,25
347,D001_3,1,C028272,8.31,0.172,13
348,D001_3,3,C012125,35.81,0.556,20
349,D001_3,1,C038159,18.03,0.16,6
350,D001_3,3,C022567,55.12,0.463,37
351,D001_3,3,C040255,55.69,0.387,23
352,D001_3,4,C012739,62,0.552,45
353,D001_3,1,C009863,21.92,0.215,6
354,D001_3,3,C038428,54.19,0.538,37
355,D001_3,1,C023081,21.29,0.135,14
356,D001_3,1,C019145,5.03,0.202,13
357,D001_3,3,C004811,44.15,0.604,23
358,D001_3,1,C010903,23.89,0.198,8
359,D001_3,4,C025641,64.24,0.601,41
360,D001_3,1,C047241,15.54,0.085,15
361,D001_3,3,C002083,44.31,0.275,31
362,D001_3,2,C013765,19.62,0.388,22
363,D001_3,2,C028134,28.36,0.423,22
364,D001_3,2,C032651,23.15,0.207,13
365,D001_3,3,C035359,19.72,0.502,28
366,D001_3,4,C015594,60.25,0.476,41
367,D001_3,2,C004956,30.19,0.472,24
368,D001_3,3,C009707,61.16,0.236,29
369,D001_3,2,C010331,17.56,0.353,25
370,D001_3,1,C018552,3.74,0.115,5
371,D001_3,4,C048051,31.57,0.392,35
372,D001_3,4,C009551,42.99,0.367,28
373,D001_3,2,C000865,43,0.402,18
374,D001_3,2,C021206,48.24,0.163,12
375,D001_3,2,C040020,23.7,0.361,25
376,D001_3,4,C009373,50.74,0.583,34
377,D001_3,2,C003244,40.13,0.159,12
378,D001_3,4,C009032,60.99,0.676,29
379,D001_3,4,C023845,65.36,0.382,33
380,D001_3,2,C004080,30.57,0.249,15
381,D001_3,3,C043603,62.35,0.191,34
382,D001_3,1,C031250,7.69,0.158,13
383,D001_3,5,C033478,77.33,0.641,50
384,D001_3,2,C016429,35.64,0.215,21
385,D001_3,4,C025551,67.37,0.581,44
386,D001_3,3,C007836,12.98,0.379,25
387,D001_3,2,C018530,11.35,0.446,11
388,D001_3,4,C042750,53.23,0.433,33
389,D001_3,4,C024556,66.03,0.65,35
390,D001_3,2,C007956,42.06,0.247,21
391,D001_3,5,C018049,65.77,0.619,48
392,D001_3,1,C031109,22.42,0.192,3
393,D001_3,4,C040544,68.3,0.467,33
394,D001_3,2,C028104,22.98,0.246,18
395,D001_3,5,C046209,68.42,0.622,53
396,D001_3,1,C032720,5.19,0.04,7
397,D001_3,1,C029138,18.69,0.109,4
398,D001_3,5,C017968,66.37,0.679,35
399,D001_3,4,C034145,75.01,0.68,52
400,D001_3,1,C035997,3.84,0.202,5
401,D001_3,3,C042827,14.33,0.63,19
402,D001_3,2,C015118,14.72,0.341,19
403,D001_3,2,C034374,9.51,0.359,11
404,D001_3,4,C016378,38.45,0.689,34
405,D001_3,3,C008617,16.31,0.546,25
406,D001_3,2,C002553,16.31,0.401,15
407,D001_3,2,C012207,16.17,0.299,16
408,D001_3,2,C005581,10.62,0.447,12
409,D001_3,2,C004830,13.65,0.473,25
410,D001_3,2,C044036,10.99,0.221,19
411,D001_3,1,C049269,4.27,0.168,10
412,D001_3,3,C038677,18.02,0.579,26
413,D001_3,2,C024512,17.26,0.418,14
414,D001_3,3,C026761,18.15,0.509,21
415,D001_3,2,C035732,5.23,0.323,24
416,D001_3,2,C009164,3.85,0.273,12
417,D001_3,2,C026162,18.61,0.32,18
418,D001_3,2,C034646,14.5,0.461,7
419,D001_3,3,C044187,12.67,0.637,36
420,D001_3,3,C017544,23.57,0.636,27
421,D001_3,1,C015568,3.73,0.189,9
422,D001_3,1,C021210,7.39,0.18,4
423,D001_3,3,C023253,26.76,0.5,18
424,D001_3,1,C045154,4.67,0.225,12
425,D001_3,2,C004337,18.67,0.457,17
426,D001_3,2,C007734,29.33,0.438,19
427,D001_3,3,C023651,15.88,0.593,15
428,D001_3,3,C009185,25.35,0.504,31
429,D001_3,1,C027099,16.57,0.205,10
430,D001_3,3,C014622,23.11,0.514,21
431,D001_3,3,C049931,8.36,0.355,21
432,D001_3,1,C040232,0.31,0.087,11
433,D001_3,2,C031425,26.39,0.395,10
434,D001_3,3,C008990,23.37,0.668,34
435,D001_3,2,C006011,11.57,0.359,19
436,D001_3,2,C006711,14.84,0.355,24
437,D001_3,2,C008288,23.95,0.395,7
438,D001_3,2,C012019,28.5,0.387,20
439,D001_3,1,C024042,1.51,0.223,6
440,D001_3,3,C015534,20.72,0.496,19
441,D001_3,1,C046045,4.75,0.175,4
442,D001_3,1,C019037,3.05,0.207,13
443,D001_3,3,C049637,23.22,0.657,23
444,D001_3,3,C027305,14,0.609,17
445,D001_3,2,C014701,18.8,0.42,18
446,D001_3,2,C019153,16.03,0.395,16
447,D001_3,2,C036998,12.87,0.368,26
448,D001_3,3,C044670,7.11,0.672,30
449,D001_3,2,C002206,13.34,0.318,21
450,D001_3,2,C023656,14.62,0.401,16
451,D001_3,2,C012249,3.91,0.379,20
452,D001_3,3,C042830,14.58,0.573,16
453,D001_3,2,C026419,1.41,0.403,21
454,D001_3,3,C018437,9.12,0.552,43
455,D001_3,1,C021960,1.78,0.234,4
456,D001_3,3,C040667,13.41,0.541,26
457,D001_3,1,C017325,6.19,0.207,5
458,D001_3,2,C014531,7.04,0.451,12
459,D001_3,4,C023772,25.45,0.682,30
460,D001_3,3,C018799,6.07,0.603,30
461,D001_3,2,C027106,5.44,0.321,20
462,D001_3,2,C006736,2.83,0.391,21
463,D001_3,1,C025336,9.49,0.183,9
464,D001_3,3,C000757,47.08,0.652,31
465,D001_3,2,C008241,23.84,0.402,15
466,D001_3,3,C018759,9.37,0.603,29
467,D001_3,2,C023245,36.35,0.45,10
468,D001_3,3,C005966,29.64,0.635,37
469,D001_3,1,C024017,17.68,0.224,6
470,D001_3,2,C023514,21.47,0.304,23
471,D001_3,3,C049341,12.65,0.498,35
472,D001_3,1,C038513,7.52,0.209,14
473,D001_3,3,C035920,48.82,0.626,26
474,D001_3,3,C010473,23.01,0.58,30
475,D001_3,1,C023589,16.11,0.221,6
476,D001_3,3,C003659,33.72,0.541,21
477,D001_3,1,C027396,10.71,0.168,14
478,D001_3,1,C003373,0.34,0.194,8
479,D001_3,3,C006719,35.66,0.567,39
480,D001_3,2,C014159,26.38,0.433,13
481,D001_3,2,C010063,20.58,0.408,19
482,D001_3,3,C020547,28.86,0.594,29
483,D001_3,2,C009793,31.35,0.38,17
484,D001_3,2,C010243,29.45,0.424,25
485,D001_3,2,C015866,16.91,0.407,13
486,D001_3,3,C034323,28.44,0.574,20
487,D001_3,2,C014090,29.69,0.387,24
488,D001_3,2,C034644,11.62,0.329,20
489,D001_3,2,C016972,28.41,0.383,22
490,D001_3,2,C008522,23.1,0.425,11
491,D001_3,3,C025182,14.09,0.677,30
492,D001_3,2,C014989,34.16,0.455,6
493,D001_3,2,C031758,16.15,0.308,9
494,D001_3,3,C012895,35.17,0.631,28
495,D001_3,1,C014741,14.81,0.218,4
496,D001_3,3,C047908,12.99,0.558,26
497,D001_3,2,C012234,22.07,0.334,26
498,D001_3,2,C000988,35.82,0.377,19
499,D001_3,1,C037538,12.78,0.223,4
500,D001_3,1,C013912,6.74,0.139,10
501,D001_3,3,C034494,24.28,0.567,37
502,D001_3,1,C030146,3.03,0.124,10
503,D001_3,3,C044613,39.4,0.59,35
504,D001_3,2,C027590,30.39,0.387,9
505,D001_3,2,C010169,19.46,0.402,24
506,D001_3,3,C013888,29.71,0.633,19
507,D001_3,1,C012921,16,0.159,4
508,D001_3,3,C003510,31.99,0.549,31
509,D001_3,3,C010121,29,0.587,22
510,D001_3,2,C016272,44.14,0.125,16
511,D001_3,5,C014269,65.21,0.342,41
512,D001_3,5,C010470,66.79,0.5,56
513,D001_3,2,C032168,39.29,0.351,26
514,D001_3,1,C026075,14.47,0.062,13
515,D001_3,1,C001029,23.49,0.225,7
516,D001_3,1,C045958,17.62,0.024,14
517,D001_3,4,C028916,64.65,0.542,35
518,D001_3,4,C027210,39.7,0.574,47
519,D001_3,1,C006501,7.07,0.058,10
520,D001_3,3,C016129,49.08,0.611,19
521,D001_3,3,C021381,50.27,0.319,39
522,D001_3,1,C025226,21.97,0.199,7
523,D001_3,4,C015777,55.14,0.431,22
524,D001_3,2,C037163,33.39,0.267,13
525,D001_3,4,C016803,42.97,0.286,35
526,D001_3,2,C017535,31.82,0.124,6
527,D001_3,1,C002489,14.83,0.204,15
528,D001_3,3,C040281,51.04,0.496,38
529,D001_3,2,C003417,8.28,0.259,16
530,D001_3,3,C041191,43.75,0.43,21
531,D001_3,4,C019789,61.15,0.505,39
532,D001_3,5,C049120,75.33,0.644,47
533,D001_3,4,C009836,67.25,0.57,39
534,D001_3,2,C001861,47.12,0.073,13
535,D001_3,3,C026242,45.58,0.297,35
536,D001_3,1,C014413,22.35,0.024,3
537,D001_3,4,C044740,61.05,0.376,42
538,D001_3,4,C032227,70,0.249,31
539,D001_3,2,C008860,23.12,0.438,9
540,D001_3,4,C024659,51.62,0.493,30
541,D001_3,3,C048293,59.88,0.129,31
542,D001_3,2,C005432,32.91,0.071,12
543,D001_3,3,C013786,37.9,0.377,23
544,D001_3,5,C045593,75.76,0.479,51
545,D001_3,2,C023785,34.04,0.43,11
546,D001_3,3,C002136,47.66,0.519,33
547,D001_3,2,C002207,26.03,0.369,18
548,D001_3,4,C048713,58.48,0.676,33
549,D001_3,1,C029573,7.6,0.249,15
550,D001_3,2,C030037,37.72,0.352,18
551,D001_3,2,C024176,33.98,0.403,17
552,D001_3,4,C011678,54.18,0.686,30
553,D001_3,3,C039324,39.66,0.525,35
554,D001_3,1,C018476,24.14,0.148,14
555,D001_3,3,C000176,40.9,0.624,32
556,D001_3,1,C034591,18.19,0.168,8
557,D001_3,1,C003635,18.06,0.25,7
558,D001_3,1,C035751,13.68,0.207,15
559,D001_3,4,C019839,40.17,0.672,37
560,D001_3,1,C015306,6.85,0.21,12
561,D001_3,3,C014683,17.49,0.676,19
562,D001_3,1,C037543,8.65,0.17,12
563,D001_3,3,C022047,43.96,0.65,24
564,D001_3,1,C014053,14.4,0.208,15
565,D001_3,1,C008836,17.41,0.195,7
566,D001_3,3,C041459,44.58,0.584,36
567,D001_3,3,C018040,42.87,0.477,35
568,D001_3,2,C008718,18.8,0.438,20
569,D001_3,2,C002971,29.64,0.284,26
570,D001_3,3,C025751,47.35,0.468,21
571,D001_3,1,C012061,17.23,0.229,8
572,D001_3,1,C006885,20.23,0.233,11
573,D001_3,3,C026835,37.76,0.639,27
574,D001_3,1,C046254,17.49,0.226,5
575,D001_3,2,C009002,23.61,0.488,13
576,D001_3,1,C048159,13.5,0.172,13
577,D001_3,2,C024725,15.8,0.395,18
578,D001_3,1,C033539,12.57,0.18,11
579,D001_3,3,C035060,41.93,0.594,23
580,D001_3,1,C003472,16.27,0.119,13
581,D001_3,3,C007062,60.8,0.545,32
582,D001_3,1,C020771,17.58,0.238,3
583,D001_3,2,C014095,31.09,0.437,16
584,D001_3,1,C037090,21.27,0.231,7
585,D001_3,3,C017433,54.76,0.628,39
586,D001_3,1,C034763,8.79,0.215,3
587,D001_3,2,C018760,23.39,0.451,14
588,D001_3,3,C034437,48.47,0.584,28
589,D001_3,1,C010785,5.02,0.219,15
590,D001_3,3,C027624,64,0.296,24
591,D001_3,3,C041103,53.77,0.248,25
592,D001_3,2,C014631,27.07,0.102,7
593,D001_3,2,C003623,32.18,0.21,12
594,D001_3,3,C045649,52.52,0.264,26
595,D001_3,2,C026243,36.44,0.17,13
596,D001_3,3,C045001,45.55,0.286,22
597,D001_3,4,C003319,60.07,0.32,36
598,D001_3,2,C014477,48.11,0.142,28
599,D001_3,3,C006346,66.45,0.296,23
600,D001_3,3,C000646,52.59,0.314,24
601,D001_3,3,C033814,66.79,0.295,20
602,D001_3,3,C029733,44.27,0.175,17
603,D001_3,3,C010985,49.78,0.2,22
