Inter_Index,Inter_ID,Zone_Index,Depot_ID,Medoid_Customer_ID,Latitude,Longitude,Weight,Volume,Service
55,Z55_C042841,55,D001_4,C042841,10.7239,106.782,414.78,3.325,186
56,Z56_C039916,56,D001_4,C039916,10.7252,106.794,204.78,2.027,109
57,Z57_C001543,57,D001_4,C001543,10.7407,106.792,598.72,5.182,300
58,Z58_C014157,58,D001_4,C014157,10.7458,106.78,404.76,3.237,172
59,Z59_C044448,59,D001_4,C044448,10.8409,106.725,370.31,4.603,340
60,Z60_C033696,60,D001_4,C033696,10.8645,106.727,606.72,7.38,445
61,Z61_C005320,61,D001_4,C005320,10.8816,106.714,535.19,5.547,425
62,Z62_C012589,62,D001_4,C012589,10.7387,106.781,697.71,6.495,931
63,Z63_C009433,63,D001_4,C009433,10.7818,106.787,632.38,2.161,321
64,Z64_C000391,64,D001_4,C000391,10.7675,106.776,725.33,2.644,381
65,Z65_C020249,65,D001_4,C020249,10.7658,106.79,336.01,1.176,192
66,Z66_C027695,66,D001_4,C027695,10.762,106.814,159.7,3.659,128
67,Z67_C009375,67,D001_4,C009375,10.7494,106.804,280.2,6.023,279
68,Z68_C023925,68,D001_4,C023925,10.74,106.815,351.27,6.696,331
69,Z69_C034496,69,D001_4,C034496,10.756,106.77,461.54,7.182,396
70,Z70_C004567,70,D001_4,C004567,10.742,106.766,115.94,2.579,122
71,Z71_C045226,71,D001_4,C045226,10.7497,106.748,216.41,4.367,155
72,Z72_C002346,72,D001_4,C002346,10.7693,106.758,193.85,4.466,209
73,Z73_C025362,73,D001_4,C025362,10.7549,106.76,275.81,4.718,222
74,Z74_C045278,74,D001_4,C045278,10.7057,106.761,311.57,5.337,413
75,Z75_C032703,75,D001_4,C032703,10.721,106.757,369.66,6.977,533
76,Z76_C016647,76,D001_4,C016647,10.6833,106.778,583.08,7.614,853
77,Z77_C023246,77,D001_4,C023246,10.6903,106.613,783.18,8.69,505
78,Z78_C035659,78,D001_4,C035659,10.7795,106.725,609.5,8.043,349
79,Z79_C013042,79,D001_4,C013042,10.784,106.744,365.3,4.708,210
80,Z80_C029072,80,D001_4,C029072,10.7782,106.736,558.15,7.173,348
81,Z81_C039329,81,D001_4,C039329,10.7589,106.737,631.85,7.764,359
82,Z82_C001365,82,D001_4,C001365,10.7996,106.769,208.45,4.284,380
83,Z83_C032149,83,D001_4,C032149,10.7795,106.769,361.27,5.527,580
84,Z84_C013121,84,D001_4,C013121,10.6948,106.726,215.99,2.961,195
85,Z85_C024354,85,D001_4,C024354,10.6615,106.716,263.44,2.08,145
86,Z86_C032561,86,D001_4,C032561,10.6796,106.715,599.61,7.122,414
87,Z87_C020996,87,D001_4,C020996,10.8475,106.763,618.79,6.942,401
88,Z88_C048235,88,D001_4,C048235,10.8318,106.764,448.92,4.82,266
89,Z89_C022623,89,D001_4,C022623,10.8313,106.75,531.34,4.756,351
90,Z90_C029309,90,D001_4,C029309,10.6839,106.749,739.01,6.722,532
91,Z91_C015337,91,D001_4,C015337,10.6615,106.762,441.98,4.857,282
92,Z92_C002511,92,D001_4,C002511,10.7412,106.76,909.14,3.704,448
93,Z93_C025121,93,D001_4,C025121,10.733,106.743,105.86,0.305,32
94,Z94_C016050,94,D001_4,C016050,10.7285,106.762,365.99,2.082,182
95,Z95_C017440,95,D001_4,C017440,10.7191,106.763,719.41,2.67,287
96,Z96_C004270,96,D001_4,C004270,10.7638,106.797,128.9,1.748,86
97,Z97_C033463,97,D001_4,C033463,10.7763,106.788,432.24,7.759,379
98,Z98_C048997,98,D001_4,C048997,10.7598,106.78,400.58,7.373,356
99,Z99_C039263,99,D001_4,C039263,10.7579,106.792,228.78,3.75,174
100,Z100_C031544,100,D001_3,C031544,10.7605,106.609,55.96,0.672,37
101,Z101_C042922,101,D001_3,C042922,10.7703,106.624,41.27,0.399,27
102,Z102_C004275,102,D001_3,C004275,10.7476,106.582,35.97,0.456,38
103,Z103_C013933,103,D001_3,C013933,10.76,106.584,8.19,0.41,13
104,Z104_C020560,104,D001_3,C020560,10.7501,106.594,29.15,0.383,20
105,Z105_C010286,105,D001_3,C010286,10.7454,106.587,6.42,0.027,12
106,Z106_C040790,106,D001_3,C040790,10.7484,106.584,13.09,0.008,3
107,Z107_C021198,107,D001_3,C021198,10.7617,106.584,21.43,0.222,11
108,Z108_C032717,108,D001_3,C032717,10.7691,106.59,38.93,0.371,23
109,Z109_C032287,109,D001_3,C032287,10.7669,106.589,45.09,0.486,39
110,Z110_C034563,110,D001_3,C034563,10.7678,106.598,6.59,0.197,4
111,Z111_C036881,111,D001_3,C036881,10.7692,106.585,58.29,0.419,37
112,Z112_C048773,112,D001_3,C048773,10.7657,106.588,69.29,0.299,27
113,Z113_C024114,113,D001_3,C024114,10.763,106.589,36.46,0.114,25
114,Z114_C029029,114,D001_3,C029029,10.7607,106.586,5.37,0.172,8
115,Z115_C032086,115,D001_3,C032086,10.7596,106.625,29.51,0.534,34
116,Z116_C044425,116,D001_3,C044425,10.75,106.601,28.98,0.36,12
117,Z117_C026262,117,D001_3,C026262,10.7425,106.614,41.11,0.37,25
118,Z118_C043883,118,D001_3,C043883,10.7498,106.618,39.88,0.356,28
119,Z119_C029046,119,D001_3,C029046,10.7392,106.624,21.22,0.227,17
120,Z120_C015751,120,D001_3,C015751,10.7412,106.628,9.09,0.146,9
121,Z121_C009821,121,D001_3,C009821,10.7334,106.594,42.31,0.368,34
122,Z122_C047742,122,D001_3,C047742,10.7442,106.598,36.62,0.543,27
123,Z123_C020748,123,D001_3,C020748,10.735,106.614,28.04,0.691,42
124,Z124_C033302,124,D001_3,C033302,10.7277,106.61,54.34,0.396,19
125,Z125_C004072,125,D001_3,C004072,10.7257,106.595,43.97,0.44,21
126,Z126_C020416,126,D001_3,C020416,10.7329,106.587,62.71,0.492,34
127,Z127_C023630,127,D001_3,C023630,10.7164,106.595,46.72,0.356,33
128,Z128_C019807,128,D001_3,C019807,10.722,106.588,52.77,0.356,24
129,Z129_C035017,129,D001_3,C035017,10.8147,106.636,21.28,0.642,44
130,Z130_C003105,130,D001_3,C003105,10.8248,106.627,18.67,0.32,20
131,Z131_C034949,131,D001_3,C034949,10.8222,106.64,7.26,0.479,46
132,Z132_C042976,132,D001_3,C042976,10.8269,106.635,9.72,0.297,12
133,Z133_C010898,133,D001_3,C010898,10.8292,106.633,16.46,0.599,44
134,Z134_C002022,134,D001_3,C002022,10.8355,106.621,48.49,0.458,34
135,Z135_C006599,135,D001_3,C006599,10.8307,106.625,17.05,0.484,32
136,Z136_C027701,136,D001_3,C027701,10.8393,106.622,10.63,0.276,18
137,Z137_C011445,137,D001_3,C011445,10.8366,106.626,33.7,0.675,51
138,Z138_C008554,138,D001_3,C008554,10.8409,106.626,3.21,0.075,5
139,Z139_C007652,139,D001_3,C007652,10.8358,106.635,19.75,0.626,50
140,Z140_C019255,140,D001_3,C019255,10.8052,106.625,21.96,0.491,48
141,Z141_C029454,141,D001_3,C029454,10.8196,106.625,13.51,0.379,33
142,Z142_C015464,142,D001_3,C015464,10.8145,106.626,17.74,0.342,14
143,Z143_C014460,143,D001_3,C014460,10.821,106.622,12.13,0.216,16
144,Z144_C012526,144,D001_3,C012526,10.8159,106.63,17.54,0.665,35
145,Z145_C009877,145,D001_3,C009877,10.828,106.623,25.74,0.304,26
146,Z146_C030420,146,D001_3,C030420,10.8163,106.606,40.23,0.523,53
147,Z147_C044397,147,D001_3,C044397,10.8289,106.611,33.73,0.555,44
148,Z148_C017090,148,D001_3,C017090,10.8246,106.61,24.05,0.156,21
149,Z149_C038810,149,D001_3,C038810,10.8258,106.609,27.38,0.549,49
150,Z150_C042749,150,D001_3,C042749,10.8307,106.607,26.59,0.641,28
151,Z151_C018357,151,D001_3,C018357,10.8266,106.606,36.29,0.482,32
152,Z152_C048816,152,D001_3,C048816,10.8318,106.618,18.05,0.434,31
153,Z153_C012418,153,D001_3,C012418,10.8211,106.621,33.5,0.366,31
154,Z154_C007717,154,D001_3,C007717,10.8254,106.617,57.04,0.252,26
155,Z155_C044980,155,D001_3,C044980,10.8205,106.616,47.17,0.565,41
156,Z156_C008276,156,D001_3,C008276,10.8169,106.617,22.85,0.144,20
157,Z157_C024968,157,D001_3,C024968,10.8106,106.618,12.6,0.586,19
158,Z158_C021487,158,D001_3,C021487,10.8351,106.614,31.85,0.605,34
159,Z159_C006085,159,D001_3,C006085,10.8341,106.617,17.18,0.393,16
160,Z160_C012222,160,D001_3,C012222,10.8336,106.62,7.18,0.177,7
161,Z161_C022105,161,D001_3,C022105,10.8366,106.615,1.59,0.246,7
162,Z162_C008368,162,D001_3,C008368,10.8381,106.613,17.66,0.278,17
163,Z163_C044147,163,D001_3,C044147,10.8347,106.612,16.99,0.37,11
164,Z164_C016987,164,D001_3,C016987,10.8233,106.601,46.87,0.669,50
165,Z165_C047023,165,D001_3,C047023,10.8687,106.664,43.1,0.419,63
166,Z166_C012031,166,D001_3,C012031,10.8623,106.663,38.3,0.455,73
167,Z167_C043266,167,D001_3,C043266,10.8757,106.662,11.38,0.101,12
168,Z168_C040612,168,D001_3,C040612,10.8597,106.646,29.94,0.233,28
169,Z169_C028465,169,D001_3,C028465,10.8679,106.648,17.66,0.119,22
170,Z170_C044840,170,D001_3,C044840,10.8756,106.658,7.62,0.069,12
171,Z171_C032696,171,D001_3,C032696,10.8684,106.652,42.17,0.271,33
172,Z172_C033790,172,D001_3,C033790,10.8718,106.652,38.97,0.161,44
173,Z173_C046634,173,D001_3,C046634,10.8611,106.646,41.15,0.157,48
174,Z174_C037165,174,D001_3,C037165,10.8602,106.651,45.79,0.322,31
175,Z175_C029499,175,D001_3,C029499,10.8889,106.654,28.19,0.23,57
176,Z176_C034152,176,D001_3,C034152,10.8894,106.638,22.66,0.486,50
177,Z177_C009923,177,D001_3,C009923,10.8812,106.641,58.88,0.529,83
178,Z178_C008878,178,D001_3,C008878,10.8827,106.629,15.84,0.067,20
179,Z179_C044339,179,D001_3,C044339,10.8761,106.63,46.87,0.578,103
180,Z180_C022542,180,D001_3,C022542,10.8739,106.645,47.84,0.661,64
181,Z181_C041558,181,D001_3,C041558,10.8663,106.638,68.66,0.55,66
182,Z182_C045130,182,D001_3,C045130,10.6668,106.811,50.3,0.487,37
183,Z183_C034980,183,D001_3,C034980,10.6641,106.807,31.07,0.687,31
184,Z184_C041922,184,D001_3,C041922,10.6628,106.805,21.38,0.189,15
185,Z185_C016529,185,D001_3,C016529,10.6636,106.802,25.49,0.404,22
186,Z186_C009102,186,D001_3,C009102,10.6586,106.798,29.11,0.534,22
187,Z187_C046760,187,D001_3,C046760,10.6665,106.797,46.69,0.187,29
188,Z188_C028864,188,D001_3,C028864,10.6731,106.803,11.64,0.041,8
189,Z189_C040592,189,D001_3,C040592,10.6569,106.787,20.72,0.34,15
190,Z190_C017936,190,D001_3,C017936,10.6808,106.793,0.38,0.25,3
191,Z191_C003180,191,D001_3,C003180,10.6628,106.785,28.36,0.429,10
192,Z192_C030738,192,D001_3,C030738,10.6758,106.793,41.2,0.293,39
193,Z193_C005847,193,D001_3,C005847,10.6714,106.772,66.51,0.614,42
194,Z194_C018622,194,D001_3,C018622,10.6658,106.782,8.75,0.234,11
195,Z195_C011459,195,D001_3,C011459,10.6572,106.766,10.97,0.367,19
196,Z196_C007948,196,D001_3,C007948,10.6636,106.772,25.26,0.495,29
197,Z197_C024451,197,D001_3,C024451,10.6645,106.784,39.39,0.552,45
198,Z198_C041435,198,D001_3,C041435,10.6791,106.781,53.74,0.364,24
199,Z199_C001968,199,D001_3,C001968,10.6936,106.76,42.37,0.479,51
200,Z200_C037375,200,D001_3,C037375,10.7423,106.818,39.01,0.423,14
201,Z201_C010353,201,D001_3,C010353,10.7351,106.814,38.87,0.576,38
202,Z202_C001638,202,D001_3,C001638,10.6903,106.813,52.48,0.511,52
203,Z203_C044405,203,D001_3,C044405,10.6967,106.817,38.76,0.534,23
204,Z204_C043809,204,D001_3,C043809,10.6988,106.808,70.89,0.58,57
205,Z205_C039663,205,D001_3,C039663,10.7308,106.804,64.31,0.69,57
206,Z206_C028078,206,D001_3,C028078,10.736,106.799,23.75,0.07,8
207,Z207_C028284,207,D001_3,C028284,10.7099,106.811,54.73,0.573,24
208,Z208_C043053,208,D001_3,C043053,10.7207,106.815,59.63,0.507,47
209,Z209_C012816,209,D001_3,C012816,10.6911,106.796,17.78,0.48,27
210,Z210_C006411,210,D001_3,C006411,10.6757,106.809,30.12,0.244,11
211,Z211_C043796,211,D001_3,C043796,10.6778,106.812,49.77,0.519,21
212,Z212_C026710,212,D001_3,C026710,10.6881,106.804,50.05,0.566,40
213,Z213_C014151,213,D001_3,C014151,10.6823,106.801,26.17,0.408,36
214,Z214_C024228,214,D001_3,C024228,10.7021,106.798,76.34,0.566,44
215,Z215_C017618,215,D001_3,C017618,10.7006,106.767,49.51,0.311,35
216,Z216_C001331,216,D001_3,C001331,10.7273,106.766,43.05,0.395,27
217,Z217_C005048,217,D001_3,C005048,10.7149,106.789,56.84,0.294,32
218,Z218_C029222,218,D001_3,C029222,10.695,106.772,59.65,0.652,44
219,Z219_C007156,219,D001_3,C007156,10.6858,106.784,23.39,0.006,13
220,Z220_C018037,220,D001_3,C018037,10.6939,106.787,30.82,0.299,14
221,Z221_C038027,221,D001_3,C038027,10.6954,106.782,49.64,0.54,34
222,Z222_C036561,222,D001_3,C036561,10.8244,106.61,69.98,0.097,32
223,Z223_C033411,223,D001_3,C033411,10.825,106.592,44.33,0.108,26
224,Z224_C019439,224,D001_3,C019439,10.8478,106.598,32.76,0.301,46
225,Z225_C020621,225,D001_3,C020621,10.8363,106.595,68.66,0.618,95
226,Z226_C016431,226,D001_3,C016431,10.8319,106.603,43.88,0.2,25
227,Z227_C035406,227,D001_3,C035406,10.8621,106.585,6.7,0.054,7
228,Z228_C038192,228,D001_3,C038192,10.8615,106.592,64.55,0.206,21
229,Z229_C027164,229,D001_3,C027164,10.8535,106.593,22.76,0.26,24
230,Z230_C024071,230,D001_3,C024071,10.8493,106.585,59.28,0.606,102
231,Z231_C024736,231,D001_3,C024736,10.836,106.586,8.9,0.06,13
232,Z232_C015540,232,D001_3,C015540,10.8454,106.588,75.09,0.315,72
233,Z233_C005129,233,D001_3,C005129,10.8581,106.606,27.96,0.16,39
234,Z234_C004264,234,D001_3,C004264,10.8699,106.613,14.72,0.045,23
235,Z235_C023412,235,D001_3,C023412,10.862,106.607,40.26,0.114,12
236,Z236_C041073,236,D001_3,C041073,10.8595,106.614,39.44,0.125,24
237,Z237_C047624,237,D001_3,C047624,10.8585,106.597,62.43,0.334,51
238,Z238_C021824,238,D001_3,C021824,10.8662,106.601,76.93,0.257,57
239,Z239_C015721,239,D001_3,C015721,10.8571,106.615,38.44,0.196,22
240,Z240_C024588,240,D001_3,C024588,10.8546,106.611,68.61,0.135,39
241,Z241_C013237,241,D001_3,C013237,10.8521,106.613,38.5,0.155,19
242,Z242_C011969,242,D001_3,C011969,10.8598,106.617,48.23,0.133,24
243,Z243_C040162,243,D001_3,C040162,10.8517,106.623,47.6,0.158,29
244,Z244_C014794,244,D001_3,C014794,10.8474,106.62,15.26,0.035,14
245,Z245_C002106,245,D001_3,C002106,10.846,106.618,33.36,0.097,7
246,Z246_C011244,246,D001_3,C011244,10.8508,106.618,50.29,0.164,37
247,Z247_C005148,247,D001_3,C005148,10.8583,106.618,53.5,0.182,44
248,Z248_C009037,248,D001_3,C009037,10.8452,106.606,23.02,0.332,19
249,Z249_C001527,249,D001_3,C001527,10.8435,106.607,58.87,0.156,11
250,Z250_C036434,250,D001_3,C036434,10.8436,106.609,54.03,0.251,37
251,Z251_C016759,251,D001_3,C016759,10.8513,106.6,32.15,0.193,18
252,Z252_C003719,252,D001_3,C003719,10.8544,106.601,63.71,0.246,27
253,Z253_C041133,253,D001_3,C041133,10.831,106.617,18.86,0.009,9
254,Z254_C002622,254,D001_3,C002622,10.8362,106.614,67.99,0.232,47
255,Z255_C015948,255,D001_3,C015948,10.839,106.615,66.21,0.269,39
256,Z256_C044884,256,D001_3,C044884,10.8523,106.606,62.31,0.313,34
257,Z257_C042683,257,D001_3,C042683,10.8084,106.815,40.62,0.437,23
258,Z258_C041800,258,D001_3,C041800,10.8059,106.814,67.63,0.589,37
259,Z259_C020864,259,D001_3,C020864,10.7955,106.82,20.05,0.193,7
260,Z260_C035713,260,D001_3,C035713,10.7766,106.805,36.21,0.463,32
261,Z261_C013053,261,D001_3,C013053,10.7615,106.812,31.19,0.305,31
262,Z262_C004782,262,D001_3,C004782,10.8266,106.804,23.63,0.157,9
263,Z263_C041041,263,D001_3,C041041,10.8233,106.808,37.8,0.678,39
264,Z264_C044839,264,D001_3,C044839,10.8191,106.804,20.15,0.089,3
265,Z265_C028826,265,D001_3,C028826,10.8268,106.795,59.09,0.682,35
266,Z266_C013517,266,D001_3,C013517,10.825,106.801,15.89,0.479,30
267,Z267_C002527,267,D001_3,C002527,10.8155,106.79,49.41,0.417,37
268,Z268_C032158,268,D001_3,C032158,10.8386,106.668,38.46,0.175,34
269,Z269_C001179,269,D001_3,C001179,10.835,106.672,59.34,0.24,31
270,Z270_C027602,270,D001_3,C027602,10.8305,106.688,10.62,0.01,4
271,Z271_C006239,271,D001_3,C006239,10.8327,106.681,77.94,0.484,57
272,Z272_C042484,272,D001_3,C042484,10.8147,106.657,7.55,0.348,38
273,Z273_C044816,273,D001_3,C044816,10.8183,106.658,50.53,0.602,62
274,Z274_C008847,274,D001_3,C008847,10.8148,106.669,55.6,0.564,60
275,Z275_C025227,275,D001_3,C025227,10.8254,106.653,1.34,0.08,7
276,Z276_C024817,276,D001_3,C024817,10.824,106.66,9.43,0.306,20
277,Z277_C010544,277,D001_3,C010544,10.8266,106.658,31.19,0.397,31
278,Z278_C036276,278,D001_3,C036276,10.8177,106.67,16.94,0.08,25
279,Z279_C039073,279,D001_3,C039073,10.8213,106.672,57.97,0.458,52
280,Z280_C034981,280,D001_3,C034981,10.8295,106.674,10.42,0.301,17
281,Z281_C047886,281,D001_3,C047886,10.8195,106.671,19.77,0.412,36
282,Z282_C012400,282,D001_3,C012400,10.8233,106.665,30.22,0.397,30
283,Z283_C043648,283,D001_3,C043648,10.828,106.671,43.21,0.229,42
284,Z284_C010843,284,D001_3,C010843,10.8275,106.666,44.88,0.289,41
285,Z285_C011888,285,D001_3,C011888,10.8369,106.661,9.99,0.046,22
286,Z286_C016122,286,D001_3,C016122,10.831,106.658,9.7,0.107,24
287,Z287_C030956,287,D001_3,C030956,10.8304,106.662,39.46,0.401,43
288,Z288_C010597,288,D001_3,C010597,10.8314,106.668,58.25,0.622,84
289,Z289_C039240,289,D001_3,C039240,10.8251,106.676,40.19,0.404,30
290,Z290_C026827,290,D001_3,C026827,10.8315,106.677,39.11,0.196,31
291,Z291_C024813,291,D001_3,C024813,10.8303,106.675,47.76,0.4,65
292,Z292_C044518,292,D001_3,C044518,10.8248,106.682,27.62,0.321,34
293,Z293_C010798,293,D001_3,C010798,10.8183,106.676,25.19,0.192,29
294,Z294_C001246,294,D001_3,C001246,10.8169,106.681,47.16,0.368,32
295,Z295_C031013,295,D001_3,C031013,10.8213,106.687,38.26,0.321,71
296,Z296_C018273,296,D001_3,C018273,10.7948,106.676,24.01,0.199,8
297,Z297_C012141,297,D001_3,C012141,10.7921,106.681,39.38,0.354,23
298,Z298_C004917,298,D001_3,C004917,10.7856,106.686,17.39,0.426,8
299,Z299_C011853,299,D001_3,C011853,10.7938,106.678,39.99,0.365,12
300,Z300_C034289,300,D001_3,C034289,10.7927,106.673,51.4,0.644,36
301,Z301_C025320,301,D001_3,C025320,10.7884,106.672,12.46,0.218,13
302,Z302_C018153,302,D001_3,C018153,10.7882,106.678,33.14,0.379,17
303,Z303_C017051,303,D001_3,C017051,10.8027,106.679,5.86,0.233,14
304,Z304_C047131,304,D001_3,C047131,10.8031,106.672,37.18,0.397,19
305,Z305_C020752,305,D001_3,C020752,10.7989,106.675,69.44,0.637,37
306,Z306_C005986,306,D001_3,C005986,10.7923,106.686,43.48,0.366,24
307,Z307_C010720,307,D001_3,C010720,10.7965,106.681,45.99,0.626,30
308,Z308_C001884,308,D001_3,C001884,10.7951,106.681,36.48,0.341,13
309,Z309_C022115,309,D001_3,C022115,10.7979,106.678,31.18,0.407,23
310,Z310_C031982,310,D001_3,C031982,10.8059,106.678,54.55,0.573,22
311,Z311_C046084,311,D001_3,C046084,10.7976,106.686,14.09,0.118,13
312,Z312_C042294,312,D001_3,C042294,10.8096,106.683,25.66,0.317,16
313,Z313_C022804,313,D001_3,C022804,10.802,106.684,47.23,0.519,38
314,Z314_C003616,314,D001_3,C003616,10.8016,106.685,21.79,0.246,3
315,Z315_C001155,315,D001_3,C001155,10.8066,106.685,31.34,0.616,28
316,Z316_C000940,316,D001_3,C000940,10.8043,106.683,57.93,0.588,30
317,Z317_C001087,317,D001_3,C001087,10.8135,106.704,42.19,0.464,22
318,Z318_C018692,318,D001_3,C018692,10.8092,106.712,19.55,0.172,6
319,Z319_C039570,319,D001_3,C039570,10.8077,106.708,28.17,0.391,13
320,Z320_C030930,320,D001_3,C030930,10.8091,106.705,46.72,0.335,16
321,Z321_C012334,321,D001_3,C012334,10.8032,106.702,26.37,0.348,17
322,Z322_C013393,322,D001_3,C013393,10.8007,106.711,53.11,0.547,20
323,Z323_C019415,323,D001_3,C019415,10.805,106.712,42.49,0.322,7
324,Z324_C032243,324,D001_3,C032243,10.7985,106.708,50.65,0.59,27
325,Z325_C007358,325,D001_3,C007358,10.8016,106.704,42.91,0.336,11
326,Z326_C031614,326,D001_3,C031614,10.798,106.707,44.02,0.367,22
327,Z327_C021620,327,D001_3,C021620,10.8075,106.69,52.18,0.65,25
328,Z328_C015997,328,D001_3,C015997,10.8098,106.692,35.98,0.289,13
329,Z329_C021695,329,D001_3,C021695,10.8052,106.695,44.44,0.519,31
330,Z330_C023330,330,D001_3,C023330,10.8083,106.7,59.7,0.644,34
331,Z331_C032860,331,D001_3,C032860,10.8022,106.696,14.04,0.216,9
332,Z332_C014601,332,D001_3,C014601,10.8119,106.698,60.67,0.589,15
333,Z333_C036552,333,D001_3,C036552,10.816,106.692,57.28,0.635,24
334,Z334_C038308,334,D001_3,C038308,10.7898,106.697,37.08,0.553,21
335,Z335_C019095,335,D001_3,C019095,10.7882,106.692,0.92,0.235,3
336,Z336_C030922,336,D001_3,C030922,10.7885,106.692,23.5,0.463,10
337,Z337_C016707,337,D001_3,C016707,10.7906,106.688,27.09,0.26,12
338,Z338_C023831,338,D001_3,C023831,10.7904,106.692,36.47,0.556,25
339,Z339_C033620,339,D001_3,C033620,10.7997,106.689,21.11,0.184,14
340,Z340_C017572,340,D001_3,C017572,10.7925,106.69,22.88,0.15,15
341,Z341_C022064,341,D001_3,C022064,10.7947,106.69,48.97,0.641,21
342,Z342_C041484,342,D001_3,C041484,10.7997,106.692,31.75,0.474,21
343,Z343_C018565,343,D001_3,C018565,10.7998,106.692,14.24,0.249,8
344,Z344_C023841,344,D001_3,C023841,10.7974,106.695,43.93,0.619,16
345,Z345_C015082,345,D001_3,C015082,10.7955,106.698,9.61,0.439,14
346,Z346_C008721,346,D001_3,C008721,10.7926,106.693,18.13,0.469,25
