customer_id,cluster_id,medoid_id,medoid_index,distance_km
C002716,5,C023800,1861,1.163793
C002741,0,C041816,3311,1.880932
C002746,3,C038542,3084,1.254182
C002748,6,C016665,1320,0.676890
C002751,5,C023800,1861,1.426346
C002758,2,C006463,501,2.734320
C002761,3,C038542,3084,1.680563
C002771,4,C001362,118,2.585365
C002772,3,C038542,3084,1.383832
C002785,0,C041816,3311,2.019925
C002821,6,C016665,1320,1.290465
C002838,2,C006463,501,2.234170
C002861,5,C023800,1861,2.665059
C002867,6,C016665,1320,1.547308
C002885,1,C045643,3630,1.370550
C002905,7,C008032,630,1.916832
C002947,7,C008032,630,1.308028
C002962,5,C023800,1861,2.294240
C002968,3,C038542,3084,0.622352
C002969,4,C001362,118,1.212052
C002972,2,C006463,501,1.301366
C003001,0,C041816,3311,3.058052
C003017,3,C038542,3084,1.888424
C003024,3,C038542,3084,0.723088
C003028,2,C006463,501,1.586737
C003034,2,C006463,501,0.868197
C003035,7,C008032,630,1.959961
C003050,3,C038542,3084,2.502581
C003056,7,C008032,630,1.031100
C003068,0,C041816,3311,2.791191
C003072,6,C016665,1320,1.022813
C003074,0,C041816,3311,2.408831
C003087,5,C023800,1861,2.246426
C003093,5,C023800,1861,2.029774
C003096,5,C023800,1861,1.939163
C003099,2,C006463,501,2.294359
C003159,0,C041816,3311,2.641803
C003166,1,C045643,3630,2.370401
C003168,7,C008032,630,0.885392
C003197,5,C023800,1861,2.717871
C003232,5,C023800,1861,0.570498
C003241,3,C038542,3084,1.719771
C003249,7,C008032,630,2.080922
C003257,4,C001362,118,2.405703
C003258,7,C008032,630,1.875979
C003292,5,C023800,1861,1.085251
C003299,7,C008032,630,1.135795
C003307,6,C016665,1320,1.696174
C003317,0,C041816,3311,0.274707
C003323,3,C038542,3084,2.873036
C003325,0,C041816,3311,1.649303
C003339,3,C038542,3084,1.794252
C003396,3,C038542,3084,2.796309
C003398,7,C008032,630,0.981139
C003402,1,C045643,3630,1.587154
C003412,6,C016665,1320,0.407076
C003428,1,C045643,3630,1.578836
C003443,4,C001362,118,2.163141
C003466,3,C038542,3084,1.785585
C003467,4,C001362,118,1.875435
C003470,2,C006463,501,1.802486
C003525,1,C045643,3630,1.615133
C003555,1,C045643,3630,2.569607
C003583,3,C038542,3084,1.901656
C003598,5,C023800,1861,1.487742
C003605,4,C001362,118,3.403189
C003610,3,C038542,3084,3.085217
C003612,6,C016665,1320,2.703532
C003639,6,C016665,1320,2.524230
C003642,1,C045643,3630,0.266087
C003649,0,C041816,3311,1.827067
C003653,3,C038542,3084,1.739246
C003658,1,C045643,3630,1.441598
C003665,6,C016665,1320,1.804095
C003669,6,C016665,1320,1.512322
C003690,5,C023800,1861,1.124240
C003739,6,C016665,1320,1.212545
C003770,6,C016665,1320,0.716322
C003783,0,C041816,3311,2.865981
C003822,1,C045643,3630,1.775977
C003828,3,C038542,3084,1.978413
C003839,7,C008032,630,2.248839
C003851,2,C006463,501,2.045807
C003861,4,C001362,118,1.631479
C003873,2,C006463,501,2.639172
C003878,6,C016665,1320,1.227814
C003882,2,C006463,501,2.937308
C003883,2,C006463,501,1.913996
C003893,7,C008032,630,2.276477
C003908,2,C006463,501,1.787635
C003930,2,C006463,501,2.826754
C003956,7,C008032,630,2.588819
C003957,2,C006463,501,1.643138
C003962,0,C041816,3311,0.477963
C003965,2,C006463,501,2.226153
C003985,5,C023800,1861,3.606583
C004002,2,C006463,501,2.141395
C004015,3,C038542,3084,2.106308
C004024,3,C038542,3084,2.031746
C004043,2,C006463,501,1.307290
C004044,4,C001362,118,1.185740
C004047,2,C006463,501,2.180083
C004055,7,C008032,630,2.000747
C004061,5,C023800,1861,1.238206
C004063,2,C006463,501,2.315133
C004085,1,C045643,3630,1.957041
C004109,6,C016665,1320,2.240709
C004121,4,C001362,118,2.457063
C004123,4,C001362,118,0.386934
C004126,2,C006463,501,2.120422
C004134,0,C041816,3311,3.279355
C004136,5,C023800,1861,2.057931
C004137,5,C023800,1861,3.301474
C004146,5,C023800,1861,2.793065
C004151,5,C023800,1861,2.215492
C004165,5,C023800,1861,2.279671
C004166,7,C008032,630,1.494414
C004183,1,C045643,3630,1.017392
C004188,0,C041816,3311,2.236639
C004190,5,C023800,1861,2.347028
C004231,7,C008032,630,2.125576
C004233,1,C045643,3630,2.217735
C004235,7,C008032,630,1.931423
C004240,5,C023800,1861,1.181719
C004258,2,C006463,501,1.824525
C004265,4,C001362,118,2.186910
C004266,1,C045643,3630,1.856711
C004268,2,C006463,501,1.248471
C004319,7,C008032,630,1.955737
C004334,2,C006463,501,1.599936
C004352,2,C006463,501,2.272658
C004368,1,C045643,3630,1.856691
C004400,4,C001362,118,1.824664
C004405,2,C006463,501,2.660191
C004406,4,C001362,118,1.810703
C004424,0,C041816,3311,0.303375
C004426,5,C023800,1861,2.924018
C004428,5,C023800,1861,2.273538
C004454,6,C016665,1320,1.283212
C004455,1,C045643,3630,2.053979
C004469,2,C006463,501,2.195173
C004476,0,C041816,3311,2.479546
C004504,6,C016665,1320,1.987873
C004516,3,C038542,3084,1.740627
C004530,2,C006463,501,1.407322
C004531,5,C023800,1861,2.468184
C004536,4,C001362,118,1.284052
C004541,7,C008032,630,1.402057
C004551,5,C023800,1861,2.623544
C004554,0,C041816,3311,0.148689
C004572,7,C008032,630,0.657770
C004591,0,C041816,3311,2.842994
C004595,3,C038542,3084,1.047820
C004610,3,C038542,3084,1.289174
C004611,3,C038542,3084,3.402285
C004616,7,C008032,630,2.151627
C004633,7,C008032,630,1.467076
C004635,7,C008032,630,2.150627
C004656,3,C038542,3084,1.288901
C004689,6,C016665,1320,0.538749
C004701,4,C001362,118,2.151459
C004704,1,C045643,3630,2.277628
C004705,3,C038542,3084,0.203636
C004712,4,C001362,118,1.490423
C004723,6,C016665,1320,0.465695
C004758,5,C023800,1861,2.637671
C004763,4,C001362,118,2.181670
C004772,7,C008032,630,1.283964
C004786,4,C001362,118,2.277278
C004792,2,C006463,501,2.469269
C004793,7,C008032,630,1.377683
C004808,3,C038542,3084,2.525091
C004826,4,C001362,118,2.420876
C004840,5,C023800,1861,2.688305
C004843,3,C038542,3084,0.822823
C004865,5,C023800,1861,2.008478
C004874,5,C023800,1861,1.026463
C004888,7,C008032,630,1.365512
C004897,3,C038542,3084,2.101788
C004960,3,C038542,3084,1.333725
C004986,2,C006463,501,2.102131
C004987,7,C008032,630,2.288462
C004992,7,C008032,630,2.922239
C004999,1,C045643,3630,2.031034
C005021,2,C006463,501,1.842592
C005022,3,C038542,3084,1.356547
C005025,2,C006463,501,1.767535
C005041,1,C045643,3630,1.643675
C005063,2,C006463,501,1.099870
C005099,7,C008032,630,2.513787
C005108,1,C045643,3630,2.224539
C005109,6,C016665,1320,2.547064
C005119,3,C038542,3084,1.843939
C005140,1,C045643,3630,1.836999
C005158,3,C038542,3084,1.970582
C005229,2,C006463,501,2.197759
C005230,0,C041816,3311,3.033243
C005239,4,C001362,118,0.611066
C005241,3,C038542,3084,2.248216
C005244,1,C045643,3630,1.906831
C005248,2,C006463,501,0.633882
C005288,5,C023800,1861,2.410702
C005297,1,C045643,3630,1.014913
C005307,4,C001362,118,0.940445
C005343,1,C045643,3630,2.049401
C005351,7,C008032,630,2.343682
C005362,4,C001362,118,1.720111
C005366,0,C041816,3311,2.734021
C005384,6,C016665,1320,1.233728
C005386,6,C016665,1320,2.264078
C005394,7,C008032,630,2.261053
C005402,6,C016665,1320,1.077151
C005456,7,C008032,630,2.253501
C005491,0,C041816,3311,2.285708
C005508,0,C041816,3311,1.669287
C005517,1,C045643,3630,3.062681
C005540,4,C001362,118,0.967924
C005545,2,C006463,501,2.095379
C005546,6,C016665,1320,2.355335
C005547,6,C016665,1320,2.242083
C005561,2,C006463,501,1.870747
C005624,3,C038542,3084,2.281048
C005635,5,C023800,1861,2.490057
C005653,5,C023800,1861,0.665469
C005671,6,C016665,1320,1.422444
C005683,6,C016665,1320,1.250318
C005701,2,C006463,501,1.173781
C005707,0,C041816,3311,2.729870
C005717,3,C038542,3084,1.472238
C005723,0,C041816,3311,1.930864
C005731,3,C038542,3084,1.720605
C005733,4,C001362,118,1.781282
C005734,3,C038542,3084,1.992796
C005740,6,C016665,1320,1.870447
C005759,6,C016665,1320,2.073536
C005785,3,C038542,3084,2.399840
C005788,3,C038542,3084,1.994522
C005790,6,C016665,1320,2.718364
C005820,0,C041816,3311,2.390116
C005829,0,C041816,3311,0.645446
C005863,5,C023800,1861,1.363462
C005929,4,C001362,118,2.446054
C005933,5,C023800,1861,0.946897
C005935,3,C038542,3084,0.470195
C005945,2,C006463,501,1.257598
C005957,3,C038542,3084,1.704736
C005975,2,C006463,501,2.138829
C005976,4,C001362,118,1.670321
C005996,7,C008032,630,1.163688
C006048,2,C006463,501,1.778434
C006071,1,C045643,3630,0.699350
C006083,5,C023800,1861,1.028499
C006092,0,C041816,3311,1.852591
C006102,5,C023800,1861,2.202376
C006107,5,C023800,1861,1.973711
C006126,3,C038542,3084,1.860952
C006142,7,C008032,630,1.259324
C006147,5,C023800,1861,0.565419
C006148,7,C008032,630,2.930554
C006154,6,C016665,1320,2.615775
C006161,7,C008032,630,2.348062
C006184,0,C041816,3311,2.543095
C006188,2,C006463,501,2.812271
C006192,5,C023800,1861,1.284634
C006198,1,C045643,3630,0.599155
C006202,0,C041816,3311,1.774645
C006203,2,C006463,501,1.887600
C006217,6,C016665,1320,1.238817
C006218,7,C008032,630,0.636020
C006251,4,C001362,118,1.532268
C006255,1,C045643,3630,1.913741
C006307,1,C045643,3630,1.894740
C006308,3,C038542,3084,1.566321
C006325,1,C045643,3630,2.009902
C006326,7,C008032,630,1.576021
C006348,7,C008032,630,1.976142
C006354,5,C023800,1861,2.426336
C006365,5,C023800,1861,1.449063
C006379,6,C016665,1320,2.262168
C006388,3,C038542,3084,1.468925
C006396,7,C008032,630,2.352194
C006412,3,C038542,3084,1.990989
C006432,4,C001362,118,2.557317
C006453,7,C008032,630,1.654926
C006460,5,C023800,1861,2.538746
C006463,2,C006463,501,0.000000
C006485,0,C041816,3311,2.096369
C006528,7,C008032,630,0.894109
C006537,7,C008032,630,2.291245
C006539,2,C006463,501,0.671504
C006548,3,C038542,3084,0.758438
C006564,4,C001362,118,2.082085
C006576,3,C038542,3084,1.960700
C006588,1,C045643,3630,1.958074
C006589,4,C001362,118,0.984735
C006597,2,C006463,501,2.540880
C006607,2,C006463,501,1.489939
C006608,2,C006463,501,0.494261
C006635,5,C023800,1861,3.131942
C006640,1,C045643,3630,1.985467
C006682,3,C038542,3084,2.757391
C006688,2,C006463,501,2.227587
C006726,7,C008032,630,1.377507
C006727,6,C016665,1320,1.742169
C006732,4,C001362,118,2.241350
C006735,1,C045643,3630,2.790996
C006745,5,C023800,1861,3.289536
C006751,6,C016665,1320,1.594866
C006752,6,C016665,1320,2.074965
C006755,1,C045643,3630,2.836106
C006758,5,C023800,1861,1.916540
C006774,6,C016665,1320,2.346125
C006783,1,C045643,3630,1.079514
C006793,5,C023800,1861,1.579873
C006802,0,C041816,3311,2.422238
C006805,7,C008032,630,2.718021
C006808,3,C038542,3084,2.284018
C006819,5,C023800,1861,2.227128
C006880,2,C006463,501,0.725420
C006884,2,C006463,501,1.846542
C006896,5,C023800,1861,3.220757
C006898,5,C023800,1861,1.137231
C006903,4,C001362,118,1.789481
C006912,0,C041816,3311,1.450385
C006942,2,C006463,501,0.918486
C006944,2,C006463,501,1.596931
C006945,6,C016665,1320,1.103100
C006951,5,C023800,1861,2.071870
C006954,6,C016665,1320,1.803023
C006962,0,C041816,3311,1.652800
C006971,7,C008032,630,1.628107
C006980,4,C001362,118,2.276018
C006986,3,C038542,3084,1.878975
C006997,0,C041816,3311,1.961309
C007009,6,C016665,1320,2.112847
C007034,5,C023800,1861,1.967590
C007052,2,C006463,501,1.619702
C007058,0,C041816,3311,2.111193
C007060,7,C008032,630,2.139755
C007087,0,C041816,3311,1.714437
C007130,5,C023800,1861,1.236011
C007151,0,C041816,3311,2.597872
C007158,0,C041816,3311,0.972695
C007179,2,C006463,501,2.652526
C007182,6,C016665,1320,2.192295
C007225,3,C038542,3084,0.867051
C007243,7,C008032,630,2.110721
C007250,2,C006463,501,0.869097
C007279,6,C016665,1320,2.854666
C007343,1,C045643,3630,2.890806
C007347,1,C045643,3630,2.025431
C007349,5,C023800,1861,0.937028
C007361,0,C041816,3311,1.651360
C007364,1,C045643,3630,0.882313
C007376,5,C023800,1861,1.822729
C007384,5,C023800,1861,1.421430
C007401,0,C041816,3311,2.200831
C007447,2,C006463,501,1.926520
C007451,5,C023800,1861,1.396207
C007475,3,C038542,3084,1.286610
C007476,1,C045643,3630,1.153978
C007480,4,C001362,118,2.187776
C007483,3,C038542,3084,0.888801
C007491,7,C008032,630,1.956957
C007522,2,C006463,501,2.209096
C007531,7,C008032,630,0.543591
C007534,3,C038542,3084,1.969144
C007547,3,C038542,3084,1.618608
C007548,7,C008032,630,0.059727
C007562,2,C006463,501,0.866933
C007591,3,C038542,3084,2.096941
C007631,5,C023800,1861,1.099083
C007638,0,C041816,3311,2.368375
C007641,2,C006463,501,1.282600
C007658,5,C023800,1861,1.443172
C007671,2,C006463,501,1.549301
C007673,5,C023800,1861,1.541646
C007681,7,C008032,630,1.078440
C007689,4,C001362,118,1.576311
C007691,1,C045643,3630,0.806017
C007713,6,C016665,1320,0.656287
C007714,3,C038542,3084,2.082323
C007737,7,C008032,630,2.541667
C007748,3,C038542,3084,0.399377
C007754,5,C023800,1861,2.414971
C007767,6,C016665,1320,1.625703
C007783,5,C023800,1861,1.838876
C007808,0,C041816,3311,2.021475
C007810,2,C006463,501,2.316298
C007818,1,C045643,3630,2.603897
C007828,7,C008032,630,0.856844
C007840,7,C008032,630,2.319618
C007852,0,C041816,3311,1.294689
C007864,3,C038542,3084,1.794924
C007865,6,C016665,1320,2.046559
C007868,2,C006463,501,1.197027
C007870,1,C045643,3630,1.297339
C007872,1,C045643,3630,2.420790
C007875,0,C041816,3311,1.346447
C007876,6,C016665,1320,2.137857
C007887,6,C016665,1320,1.381750
C007913,1,C045643,3630,2.260958
C007940,6,C016665,1320,0.900974
C007947,4,C001362,118,3.438416
C007951,2,C006463,501,1.010965
C007954,7,C008032,630,1.833810
C007967,6,C016665,1320,1.264517
C007970,7,C008032,630,2.092690
C007973,6,C016665,1320,0.612174
C007985,4,C001362,118,2.389872
C007992,1,C045643,3630,0.988339
C007995,5,C023800,1861,2.263430
C008010,0,C041816,3311,1.670287
C008019,4,C001362,118,2.199489
C008032,7,C008032,630,0.000000
C008033,3,C038542,3084,2.367437
C008052,5,C023800,1861,1.562925
C008058,3,C038542,3084,1.838272
C008063,0,C041816,3311,2.823325
C008080,1,C045643,3630,1.984432
C008086,6,C016665,1320,2.702773
C008117,7,C008032,630,0.639023
C008129,7,C008032,630,2.222650
C008130,0,C041816,3311,1.598280
C008137,6,C016665,1320,2.247910
C008141,3,C038542,3084,0.532955
C008163,0,C041816,3311,1.573671
C008164,2,C006463,501,3.086127
C008165,0,C041816,3311,0.465448
C008184,6,C016665,1320,2.426827
C008185,2,C006463,501,2.558969
C008197,6,C016665,1320,1.691908
C008230,7,C008032,630,1.366915
C008242,2,C006463,501,0.821054
C008250,3,C038542,3084,1.833351
C008254,2,C006463,501,2.332868
C008256,5,C023800,1861,2.265905
C008266,4,C001362,118,1.434946
C008285,6,C016665,1320,2.371343
C008292,2,C006463,501,2.366642
C008310,1,C045643,3630,1.345533
C008357,3,C038542,3084,1.147127
C008362,6,C016665,1320,1.805541
C008366,5,C023800,1861,0.343507
C008373,0,C041816,3311,2.589279
C008387,4,C001362,118,1.651884
C008460,1,C045643,3630,2.266979
C008461,6,C016665,1320,0.707623
C008485,7,C008032,630,2.517114
C008494,0,C041816,3311,1.920122
C008497,5,C023800,1861,1.294207
C008504,5,C023800,1861,1.279361
C008513,6,C016665,1320,2.593392
C008536,2,C006463,501,1.484698
C008562,7,C008032,630,1.928702
C008570,4,C001362,118,2.879343
C008626,2,C006463,501,1.761436
C008652,7,C008032,630,2.266588
C008653,7,C008032,630,1.374350
C008656,0,C041816,3311,2.760747
C008685,5,C023800,1861,1.203447
C008696,6,C016665,1320,1.718445
C008697,1,C045643,3630,2.410984
C008731,6,C016665,1320,1.897988
C008733,2,C006463,501,2.511737
C008765,1,C045643,3630,0.733469
C008778,0,C041816,3311,2.164327
C008790,4,C001362,118,1.590222
C008809,0,C041816,3311,2.790608
C008812,5,C023800,1861,0.059859
C008817,1,C045643,3630,0.959140
C008820,7,C008032,630,1.886487
C008822,0,C041816,3311,2.363694
C008849,4,C001362,118,2.134700
C008867,0,C041816,3311,1.918719
C008869,7,C008032,630,1.074765
C008871,0,C041816,3311,2.063658
C008872,5,C023800,1861,0.915035
C008909,2,C006463,501,1.209972
C008924,0,C041816,3311,1.374766
C008936,1,C045643,3630,1.668344
C008937,3,C038542,3084,2.291987
C008947,4,C001362,118,1.107208
C008955,7,C008032,630,2.159134
C008974,3,C038542,3084,1.283698
C008975,3,C038542,3084,1.955703
C008988,4,C001362,118,2.169934
C008994,7,C008032,630,1.670104
C009001,7,C008032,630,0.433680
C009043,5,C023800,1861,2.172129
C009052,0,C041816,3311,2.314904
C009059,2,C006463,501,2.163813
C009068,4,C001362,118,1.894678
C009116,4,C001362,118,1.126734
C009118,0,C041816,3311,2.171063
C009122,2,C006463,501,2.800609
C009134,3,C038542,3084,3.140649
C009140,1,C045643,3630,1.836018
C009155,0,C041816,3311,2.895559
C009162,3,C038542,3084,0.289608
C009170,2,C006463,501,2.248598
C009173,3,C038542,3084,0.801287
C009192,4,C001362,118,1.674292
C009199,3,C038542,3084,1.985073
C009204,6,C016665,1320,1.607978
C009208,2,C006463,501,2.132914
C009210,7,C008032,630,0.615797
C009236,7,C008032,630,0.891385
C009238,5,C023800,1861,2.024886
C009243,7,C008032,630,0.655222
C009277,4,C001362,118,1.902931
C009284,5,C023800,1861,1.606443
C009295,5,C023800,1861,0.556785
C009312,2,C006463,501,1.480902
C009328,0,C041816,3311,2.096169
C009331,2,C006463,501,2.082349
C009333,5,C023800,1861,1.935981
C009334,5,C023800,1861,2.571638
C009348,3,C038542,3084,2.644137
C009355,4,C001362,118,2.198546
C009358,1,C045643,3630,1.901879
C009428,3,C038542,3084,2.020536
C009442,6,C016665,1320,0.746561
C009499,7,C008032,630,1.835707
C009504,5,C023800,1861,1.247462
C009505,4,C001362,118,1.888327
C009517,2,C006463,501,2.609375
C009529,5,C023800,1861,1.410131
C009549,0,C041816,3311,0.920969
C009550,6,C016665,1320,1.770738
C009562,4,C001362,118,2.874736
C009570,4,C001362,118,1.591047
C009571,7,C008032,630,2.784527
C009579,5,C023800,1861,3.735177
C009581,7,C008032,630,1.522265
C009589,0,C041816,3311,2.004212
C009593,7,C008032,630,0.346924
C009594,2,C006463,501,0.412671
C009605,3,C038542,3084,1.551626
C009628,3,C038542,3084,2.298272
C009630,0,C041816,3311,2.710730
C009634,0,C041816,3311,0.918320
C009638,0,C041816,3311,1.796705
C009642,3,C038542,3084,1.236327
C009663,5,C023800,1861,1.974758
C009673,2,C006463,501,2.055930
C009677,7,C008032,630,0.649244
C009693,5,C023800,1861,3.117378
C009745,5,C023800,1861,2.236471
C009766,4,C001362,118,2.070495
C009812,2,C006463,501,1.650284
C009834,1,C045643,3630,1.731815
C009843,2,C006463,501,2.681744
C009879,1,C045643,3630,2.182184
C009883,7,C008032,630,1.731100
C009885,7,C008032,630,2.698989
C009900,0,C041816,3311,2.250727
C009921,5,C023800,1861,2.895500
C009935,3,C038542,3084,2.057324
C009946,0,C041816,3311,1.978914
C009955,2,C006463,501,2.356480
C009958,1,C045643,3630,1.283632
C009977,3,C038542,3084,1.552043
C009984,5,C023800,1861,0.467444
C009998,1,C045643,3630,2.520995
C010008,6,C016665,1320,2.610301
C010009,0,C041816,3311,1.817865
C010045,5,C023800,1861,2.623239
C010056,4,C001362,118,2.633118
C010057,7,C008032,630,1.644655
C010065,5,C023800,1861,2.451516
C010075,6,C016665,1320,1.435637
C010076,5,C023800,1861,3.192795
C010089,6,C016665,1320,1.998403
C010091,2,C006463,501,0.921480
