Customer_ID,Cluster_ID,Assigned_Medoid_Index,Assigned_Medoid_ID,Distance_km
"C000207",2,868,"C001904",5.834827
"C000210",4,9961,"C022249",7.504468
"C000213",3,16827,"C037407",6.390812
"C000215",5,21482,"C047883",8.874254
"C000217",5,21482,"C047883",3.310048
"C000218",1,5732,"C012734",14.798528
"C000220",0,5705,"C012675",4.334092
"C000221",1,5732,"C012734",11.148019
"C000223",1,5732,"C012734",5.547638
"C000226",4,9961,"C022249",0.974144
"C000229",0,5705,"C012675",4.901231
"C000230",1,5732,"C012734",6.165509
"C000231",1,5732,"C012734",8.343758
"C000232",5,21482,"C047883",12.063074
"C000233",5,21482,"C047883",15.530060
"C000236",2,868,"C001904",4.085320
"C000237",4,9961,"C022249",4.413725
"C000241",0,5705,"C012675",3.617339
"C000244",2,868,"C001904",7.974862
"C000245",1,5732,"C012734",8.466737
"C000248",3,16827,"C037407",2.945276
"C000251",0,5705,"C012675",2.218950
"C000252",3,16827,"C037407",8.101781
"C000254",1,5732,"C012734",14.218940
"C000255",0,5705,"C012675",7.591058
"C000259",0,5705,"C012675",7.627622
"C000260",2,868,"C001904",3.625495
"C000262",4,9961,"C022249",6.126521
"C000264",4,9961,"C022249",2.919021
"C000265",1,5732,"C012734",3.872353
"C000266",1,5732,"C012734",7.585406
"C000267",1,5732,"C012734",5.533335
"C000268",5,21482,"C047883",6.523244
"C000269",3,16827,"C037407",7.587675
"C000271",4,9961,"C022249",3.607884
"C000272",2,868,"C001904",3.001201
"C000273",4,9961,"C022249",4.140148
"C000274",2,868,"C001904",11.827418
"C000276",1,5732,"C012734",1.131214
"C000278",1,5732,"C012734",8.897642
"C000280",0,5705,"C012675",2.755208
"C000282",0,5705,"C012675",8.494912
"C000283",0,5705,"C012675",5.879144
"C000285",5,21482,"C047883",2.221798
"C000291",1,5732,"C012734",5.600526
"C000293",3,16827,"C037407",2.651238
"C000295",2,868,"C001904",1.346170
"C000299",1,5732,"C012734",7.885165
"C000301",1,5732,"C012734",13.620605
"C000303",3,16827,"C037407",4.628694
"C000304",5,21482,"C047883",12.899883
"C000305",3,16827,"C037407",2.131354
"C000307",3,16827,"C037407",1.453842
"C000310",1,5732,"C012734",7.059344
"C000313",0,5705,"C012675",1.598592
"C000314",2,868,"C001904",7.340029
"C000321",1,5732,"C012734",12.511542
"C000324",0,5705,"C012675",3.515897
"C000325",2,868,"C001904",3.359798
"C000326",2,868,"C001904",7.924582
"C000327",0,5705,"C012675",8.000246
"C000329",0,5705,"C012675",6.895675
"C000335",5,21482,"C047883",5.196762
"C000336",4,9961,"C022249",3.325150
"C000337",2,868,"C001904",5.661362
"C000339",1,5732,"C012734",17.095354
"C000340",4,9961,"C022249",4.868263
"C000343",1,5732,"C012734",16.982441
"C000345",5,21482,"C047883",12.482269
"C000346",3,16827,"C037407",5.969610
"C000347",4,9961,"C022249",4.002483
"C000348",1,5732,"C012734",2.155247
"C000353",5,21482,"C047883",9.760916
"C000354",5,21482,"C047883",1.173894
"C000355",5,21482,"C047883",13.643721
"C000356",0,5705,"C012675",5.324465
"C000357",2,868,"C001904",11.571104
"C000358",1,5732,"C012734",7.500683
"C000360",0,5705,"C012675",7.031237
"C000362",5,21482,"C047883",8.338843
"C000364",0,5705,"C012675",3.727038
"C000365",5,21482,"C047883",8.633153
"C000368",2,868,"C001904",7.634049
"C000373",0,5705,"C012675",8.031385
"C000376",2,868,"C001904",4.388071
"C000380",2,868,"C001904",9.799322
"C000381",0,5705,"C012675",3.364172
"C000386",5,21482,"C047883",5.971115
"C000390",4,9961,"C022249",3.915766
"C000391",0,5705,"C012675",5.294023
"C000392",4,9961,"C022249",2.628576
"C000395",5,21482,"C047883",1.503893
"C000396",0,5705,"C012675",3.938045
"C000397",5,21482,"C047883",8.799748
"C000398",0,5705,"C012675",5.799947
"C000399",2,868,"C001904",2.765294
"C000402",0,5705,"C012675",3.035746
"C000404",4,9961,"C022249",7.632320
"C000406",4,9961,"C022249",3.382371
"C000409",1,5732,"C012734",8.893248
"C000410",2,868,"C001904",11.444321
"C000411",3,16827,"C037407",1.214173
"C000412",1,5732,"C012734",4.146079
"C000415",1,5732,"C012734",3.738057
"C000417",5,21482,"C047883",3.710401
"C000418",2,868,"C001904",4.773702
"C000419",2,868,"C001904",3.371924
"C000422",5,21482,"C047883",10.188030
"C000425",1,5732,"C012734",4.946536
"C000428",5,21482,"C047883",6.912122
"C000430",0,5705,"C012675",4.100180
"C000431",5,21482,"C047883",9.521060
"C000432",0,5705,"C012675",1.989127
"C000433",0,5705,"C012675",3.534031
"C000434",5,21482,"C047883",3.883560
"C000435",5,21482,"C047883",10.279406
"C000436",1,5732,"C012734",2.299348
"C000438",2,868,"C001904",3.157421
"C000440",4,9961,"C022249",2.649811
"C000441",1,5732,"C012734",2.369159
"C000442",1,5732,"C012734",5.711271
"C000444",4,9961,"C022249",5.887416
"C000445",2,868,"C001904",3.783750
"C000448",1,5732,"C012734",4.977247
"C000450",5,21482,"C047883",3.239118
"C000451",5,21482,"C047883",6.665690
"C000453",4,9961,"C022249",2.113527
"C000456",1,5732,"C012734",6.677315
"C000457",5,21482,"C047883",5.248192
"C000458",0,5705,"C012675",5.499558
"C000462",3,16827,"C037407",3.211548
"C000466",3,16827,"C037407",8.266639
"C000468",1,5732,"C012734",8.276733
"C000469",1,5732,"C012734",3.974466
"C000471",5,21482,"C047883",11.199083
"C000473",3,16827,"C037407",7.252404
"C000474",5,21482,"C047883",7.373093
"C000476",0,5705,"C012675",8.848461
"C000478",4,9961,"C022249",4.300450
"C000480",5,21482,"C047883",2.868837
"C000481",1,5732,"C012734",3.974943
"C000485",1,5732,"C012734",6.304856
"C000486",0,5705,"C012675",5.471581
"C000488",5,21482,"C047883",4.088951
"C000490",1,5732,"C012734",7.813569
"C000494",1,5732,"C012734",3.986189
"C000495",0,5705,"C012675",6.444883
"C000499",5,21482,"C047883",13.152553
"C000501",0,5705,"C012675",10.262309
"C000502",4,9961,"C022249",3.520337
"C000504",2,868,"C001904",8.226980
"C000507",3,16827,"C037407",0.616883
"C000508",1,5732,"C012734",10.880000
"C000514",5,21482,"C047883",10.655107
"C000515",4,9961,"C022249",2.453163
"C000517",1,5732,"C012734",7.560773
"C000519",5,21482,"C047883",10.730853
"C000522",5,21482,"C047883",1.833361
"C000524",3,16827,"C037407",4.561933
"C000525",5,21482,"C047883",11.602806
"C000526",2,868,"C001904",1.353107
"C000527",5,21482,"C047883",11.532173
"C000528",3,16827,"C037407",0.138140
"C000531",2,868,"C001904",6.635404
"C000534",2,868,"C001904",7.446874
"C000536",1,5732,"C012734",4.512169
"C000537",3,16827,"C037407",3.031131
"C000541",3,16827,"C037407",3.097525
"C000545",2,868,"C001904",6.116577
"C000548",4,9961,"C022249",3.754384
"C000552",4,9961,"C022249",4.372649
"C000555",4,9961,"C022249",3.469477
"C000557",1,5732,"C012734",1.171480
"C000559",0,5705,"C012675",6.650822
"C000560",5,21482,"C047883",12.691363
"C000562",0,5705,"C012675",6.942856
"C000567",2,868,"C001904",5.908471
"C000568",1,5732,"C012734",4.426890
"C000571",3,16827,"C037407",2.059484
"C000572",2,868,"C001904",1.935769
"C000573",4,9961,"C022249",0.177681
"C000575",0,5705,"C012675",7.762502
"C000587",2,868,"C001904",3.337343
"C000590",2,868,"C001904",3.429723
"C000592",5,21482,"C047883",2.123548
"C000593",0,5705,"C012675",4.401589
"C000594",5,21482,"C047883",2.827763
"C000596",4,9961,"C022249",4.343639
"C000599",1,5732,"C012734",11.894092
"C000600",0,5705,"C012675",3.858432
"C000608",3,16827,"C037407",7.087655
"C000609",5,21482,"C047883",8.032111
"C000610",4,9961,"C022249",4.107491
"C000612",5,21482,"C047883",3.704406
"C000615",1,5732,"C012734",2.641910
"C000616",0,5705,"C012675",2.730567
"C000617",4,9961,"C022249",1.356744
"C000620",5,21482,"C047883",11.584535
"C000626",1,5732,"C012734",5.252489
"C000629",0,5705,"C012675",4.908245
"C000630",1,5732,"C012734",1.611273
"C000632",2,868,"C001904",11.055950
"C000633",1,5732,"C012734",9.429036
"C000637",5,21482,"C047883",6.178948
"C000640",1,5732,"C012734",7.300160
"C000641",0,5705,"C012675",5.813057
"C000645",5,21482,"C047883",9.170174
"C000646",1,5732,"C012734",8.163599
"C000650",0,5705,"C012675",4.691224
"C000651",5,21482,"C047883",3.495342
"C000652",2,868,"C001904",3.477173
"C000653",1,5732,"C012734",4.463007
"C000656",3,16827,"C037407",6.907005
"C000657",1,5732,"C012734",7.773956
"C000661",3,16827,"C037407",2.627037
"C000663",4,9961,"C022249",3.568273
"C000671",5,21482,"C047883",13.496575
"C000672",2,868,"C001904",11.914520
"C000675",2,868,"C001904",10.313724
"C000676",2,868,"C001904",2.369735
"C000678",5,21482,"C047883",11.440540
"C000680",2,868,"C001904",8.657410
"C000682",0,5705,"C012675",2.720106
"C000685",5,21482,"C047883",8.375939
"C000688",0,5705,"C012675",6.106372
"C000689",1,5732,"C012734",3.154809
"C000690",0,5705,"C012675",1.999109
"C000691",2,868,"C001904",1.741613
"C000693",1,5732,"C012734",14.574113
"C000698",5,21482,"C047883",9.767689
"C000702",3,16827,"C037407",1.931328
"C000704",2,868,"C001904",5.175641
"C000706",1,5732,"C012734",6.164118
"C000710",1,5732,"C012734",4.269122
"C000714",4,9961,"C022249",3.754564
"C000717",0,5705,"C012675",1.450978
"C000719",4,9961,"C022249",2.865455
"C000720",2,868,"C001904",3.916196
"C000724",1,5732,"C012734",1.150478
"C000727",5,21482,"C047883",2.962746
"C000729",2,868,"C001904",1.667737
"C000730",4,9961,"C022249",0.711420
"C000733",0,5705,"C012675",7.448588
"C000734",0,5705,"C012675",5.238261
"C000738",0,5705,"C012675",2.361269
"C000739",4,9961,"C022249",1.104938
"C000751",1,5732,"C012734",5.938889
"C000752",1,5732,"C012734",12.882522
"C000753",5,21482,"C047883",0.574739
"C000755",1,5732,"C012734",4.729929
"C000757",1,5732,"C012734",7.345780
"C000761",0,5705,"C012675",3.336057
"C000767",2,868,"C001904",6.845741
"C000769",3,16827,"C037407",7.220430
"C000772",5,21482,"C047883",15.041686
"C000773",1,5732,"C012734",3.619612
"C000776",3,16827,"C037407",7.162041
"C000777",3,16827,"C037407",7.534863
"C000778",3,16827,"C037407",4.659314
"C000783",3,16827,"C037407",7.264080
"C000784",4,9961,"C022249",3.394082
"C000785",2,868,"C001904",0.789828
"C000789",3,16827,"C037407",4.970328
"C000790",0,5705,"C012675",4.253311
"C000791",4,9961,"C022249",1.356768
"C000792",3,16827,"C037407",7.656909
"C000795",5,21482,"C047883",10.255043
"C000796",0,5705,"C012675",2.007399
"C000798",1,5732,"C012734",4.731777
"C000799",4,9961,"C022249",6.391904
"C000800",5,21482,"C047883",6.454982
"C000801",4,9961,"C022249",6.365321
"C000803",3,16827,"C037407",4.601504
"C000807",5,21482,"C047883",10.011213
"C000809",2,868,"C001904",6.874646
"C000812",5,21482,"C047883",1.246603
"C000813",5,21482,"C047883",2.534236
"C000815",4,9961,"C022249",4.405348
"C000817",1,5732,"C012734",3.403705
"C000818",1,5732,"C012734",1.031974
"C000820",3,16827,"C037407",2.054801
"C000821",5,21482,"C047883",7.959746
"C000822",4,9961,"C022249",2.370553
"C000825",4,9961,"C022249",5.019315
"C000827",0,5705,"C012675",0.665821
"C000829",3,16827,"C037407",3.122455
"C000831",0,5705,"C012675",3.707465
"C000834",5,21482,"C047883",2.158370
"C000836",0,5705,"C012675",0.922842
"C000837",2,868,"C001904",3.589559
"C000838",5,21482,"C047883",2.859989
"C000847",5,21482,"C047883",2.283219
"C000848",5,21482,"C047883",3.384474
"C000849",4,9961,"C022249",3.098074
"C000851",3,16827,"C037407",3.186342
"C000854",1,5732,"C012734",4.327572
"C000858",1,5732,"C012734",7.232865
"C000865",1,5732,"C012734",15.122005
"C000868",1,5732,"C012734",6.091579
"C000871",1,5732,"C012734",2.665701
"C000874",5,21482,"C047883",3.601841
"C000875",4,9961,"C022249",5.134956
"C000876",1,5732,"C012734",1.987410
"C000878",1,5732,"C012734",5.610800
"C000879",4,9961,"C022249",3.106806
"C000883",0,5705,"C012675",6.627019
"C000888",5,21482,"C047883",3.305785
"C000889",5,21482,"C047883",2.489251
"C000893",2,868,"C001904",2.670267
"C000894",5,21482,"C047883",12.154178
"C000895",3,16827,"C037407",8.024366
"C000896",4,9961,"C022249",4.308950
"C000897",1,5732,"C012734",15.461243
"C000899",5,21482,"C047883",14.721083
"C000900",1,5732,"C012734",5.652740
"C000902",2,868,"C001904",5.114948
"C000903",1,5732,"C012734",4.015292
"C000904",1,5732,"C012734",3.891537
"C000906",1,5732,"C012734",2.622612
"C000911",2,868,"C001904",2.298979
"C000922",3,16827,"C037407",9.022416
"C000924",5,21482,"C047883",6.996781
"C000925",0,5705,"C012675",5.336087
"C000926",0,5705,"C012675",3.937592
"C000927",5,21482,"C047883",5.756899
"C000928",3,16827,"C037407",4.388987
"C000930",3,16827,"C037407",4.980315
"C000931",5,21482,"C047883",7.462673
"C000932",1,5732,"C012734",6.877644
"C000933",4,9961,"C022249",2.876905
"C000934",5,21482,"C047883",3.743715
"C000935",3,16827,"C037407",4.275202
"C000936",5,21482,"C047883",2.982833
"C000939",4,9961,"C022249",4.811868
"C000940",5,21482,"C047883",3.578839
"C000944",4,9961,"C022249",4.465279
"C000945",2,868,"C001904",6.749519
"C000947",3,16827,"C037407",0.845312
"C000950",0,5705,"C012675",5.042908
"C000951",1,5732,"C012734",4.836438
"C000952",5,21482,"C047883",12.259066
"C000956",1,5732,"C012734",9.527402
"C000957",1,5732,"C012734",4.017873
"C000958",2,868,"C001904",8.926503
"C000959",2,868,"C001904",9.343179
"C000961",4,9961,"C022249",2.328498
"C000963",2,868,"C001904",3.867149
"C000964",0,5705,"C012675",5.800968
"C000966",5,21482,"C047883",1.538278
"C000968",1,5732,"C012734",8.228676
"C000970",3,16827,"C037407",2.464677
"C000973",1,5732,"C012734",7.218797
"C000976",3,16827,"C037407",5.869922
"C000978",2,868,"C001904",2.225824
"C000979",1,5732,"C012734",7.015500
"C000981",2,868,"C001904",5.539877
"C000983",4,9961,"C022249",1.530114
"C000984",0,5705,"C012675",4.929294
"C000986",5,21482,"C047883",15.547058
"C000987",5,21482,"C047883",8.276015
"C000988",1,5732,"C012734",8.984022
"C000990",1,5732,"C012734",10.196818
"C000992",5,21482,"C047883",6.203691
"C000994",2,868,"C001904",1.684473
"C000996",4,9961,"C022249",1.660995
"C000998",1,5732,"C012734",9.567319
"C000999",5,21482,"C047883",7.441510
"C001000",3,16827,"C037407",2.320289
"C001001",1,5732,"C012734",3.234594
"C001003",0,5705,"C012675",4.118423
"C001006",2,868,"C001904",2.202471
"C001007",1,5732,"C012734",5.561724
"C001010",5,21482,"C047883",6.074281
"C001012",0,5705,"C012675",8.463327
"C001013",5,21482,"C047883",9.689501
"C001015",5,21482,"C047883",10.772193
"C001019",5,21482,"C047883",5.963886
"C001020",2,868,"C001904",3.700862
"C001024",0,5705,"C012675",7.171432
"C001025",5,21482,"C047883",11.050526
"C001027",4,9961,"C022249",3.368429
"C001028",5,21482,"C047883",11.717048
"C001029",0,5705,"C012675",6.758770
"C001031",0,5705,"C012675",6.200873
"C001032",0,5705,"C012675",5.010521
"C001033",2,868,"C001904",8.330087
"C001034",2,868,"C001904",7.408163
"C001035",2,868,"C001904",5.826131
"C001038",2,868,"C001904",8.289399
"C001040",0,5705,"C012675",4.996488
"C001041",2,868,"C001904",0.608720
"C001044",3,16827,"C037407",4.146147
"C001046",3,16827,"C037407",1.931805
"C001049",1,5732,"C012734",1.745714
"C001050",1,5732,"C012734",13.196518
"C001052",2,868,"C001904",2.818451
"C001054",0,5705,"C012675",3.779584
"C001056",1,5732,"C012734",8.170380
"C001057",5,21482,"C047883",2.210093
"C001058",0,5705,"C012675",5.457522
"C001059",2,868,"C001904",4.199198
"C001060",1,5732,"C012734",7.319113
"C001065",5,21482,"C047883",14.781462
"C001066",4,9961,"C022249",0.814540
"C001070",0,5705,"C012675",3.050073
"C001071",1,5732,"C012734",2.452902
"C001072",1,5732,"C012734",4.788217
"C001073",1,5732,"C012734",4.429481
"C001075",3,16827,"C037407",2.021970
"C001078",0,5705,"C012675",0.556357
"C001081",5,21482,"C047883",11.715808
"C001082",0,5705,"C012675",1.666595
"C001084",0,5705,"C012675",1.391276
"C001086",5,21482,"C047883",5.371726
"C001087",1,5732,"C012734",3.110234
"C001091",2,868,"C001904",5.293819
"C001092",3,16827,"C037407",4.306504
"C001093",5,21482,"C047883",11.429633
"C001095",0,5705,"C012675",5.693279
"C001096",5,21482,"C047883",0.541057
"C001098",3,16827,"C037407",2.121645
"C001100",2,868,"C001904",7.367135
"C001101",5,21482,"C047883",6.760378
"C001103",1,5732,"C012734",10.586431
"C001105",5,21482,"C047883",8.758379
"C001106",2,868,"C001904",8.583012
"C001107",2,868,"C001904",3.567638
"C001108",3,16827,"C037407",4.730182
"C001113",1,5732,"C012734",15.585003
"C001114",3,16827,"C037407",10.341765
"C001119",4,9961,"C022249",3.301589
"C001120",2,868,"C001904",3.012905
"C001122",2,868,"C001904",6.293582
"C001123",3,16827,"C037407",3.824377
"C001127",0,5705,"C012675",8.322852
"C001128",3,16827,"C037407",6.610246
"C001129",1,5732,"C012734",6.671051
"C001130",1,5732,"C012734",2.959376
"C001131",0,5705,"C012675",3.869060
"C001132",5,21482,"C047883",2.168183
"C001136",5,21482,"C047883",4.340736
"C001144",2,868,"C001904",8.100404
"C001147",1,5732,"C012734",1.819067
"C001149",5,21482,"C047883",2.277188
"C001152",5,21482,"C047883",6.202049
"C001153",1,5732,"C012734",4.815576
"C001155",5,21482,"C047883",3.695973
"C001157",5,21482,"C047883",11.363030
"C001159",1,5732,"C012734",16.462298
"C001165",4,9961,"C022249",3.646121
"C001166",2,868,"C001904",5.094580
"C001167",5,21482,"C047883",4.084331
"C001168",5,21482,"C047883",3.945095
"C001169",4,9961,"C022249",3.995456
"C001171",1,5732,"C012734",13.773504
"C001172",5,21482,"C047883",3.862743
"C001174",3,16827,"C037407",2.423072
"C001175",3,16827,"C037407",2.866482
"C001179",1,5732,"C012734",6.022072
"C001180",4,9961,"C022249",3.638181
"C001181",0,5705,"C012675",7.365043
"C001182",5,21482,"C047883",3.858802
"C001183",3,16827,"C037407",0.863469
"C001184",0,5705,"C012675",4.020830
"C001185",5,21482,"C047883",2.140677
"C001186",2,868,"C001904",5.019248
"C001187",0,5705,"C012675",1.535080
"C001188",1,5732,"C012734",9.126530
"C001190",2,868,"C001904",8.392319
"C001193",1,5732,"C012734",0.964093
"C001195",3,16827,"C037407",6.524949
"C001197",0,5705,"C012675",8.159820
"C001200",5,21482,"C047883",4.363963
"C001206",2,868,"C001904",8.957901
"C001208",2,868,"C001904",4.158208
"C001211",2,868,"C001904",8.798691
"C001213",3,16827,"C037407",4.951752
"C001217",1,5732,"C012734",5.172874
"C001218",4,9961,"C022249",1.279940
"C001222",5,21482,"C047883",1.866786
"C001225",3,16827,"C037407",2.262327
"C001226",3,16827,"C037407",6.921737
"C001232",1,5732,"C012734",4.910939
"C001237",0,5705,"C012675",6.365430
"C001239",0,5705,"C012675",2.325398
"C001240",4,9961,"C022249",4.240064
"C001243",1,5732,"C012734",7.214003
"C001245",5,21482,"C047883",9.658115
"C001246",5,21482,"C047883",4.918200
"C001250",5,21482,"C047883",3.392544
"C001251",4,9961,"C022249",3.696608
"C001252",0,5705,"C012675",7.874416
"C001253",5,21482,"C047883",4.826082
"C001254",2,868,"C001904",3.516147
"C001255",5,21482,"C047883",10.357303
"C001257",1,5732,"C012734",6.911361
"C001258",4,9961,"C022249",4.117929
"C001260",3,16827,"C037407",2.714511
"C001263",5,21482,"C047883",5.848847
"C001265",5,21482,"C047883",12.579636
"C001268",2,868,"C001904",9.044945
"C001269",5,21482,"C047883",14.859937
"C001274",0,5705,"C012675",2.973364
"C001281",1,5732,"C012734",0.941986
"C001282",1,5732,"C012734",6.555537
"C001284",0,5705,"C012675",1.600246
"C001286",2,868,"C001904",2.464391
"C001288",5,21482,"C047883",12.147365
"C001289",1,5732,"C012734",9.271493
"C001290",5,21482,"C047883",4.585113
"C001294",5,21482,"C047883",15.445179
"C001295",3,16827,"C037407",1.385854
"C001296",0,5705,"C012675",3.367225
"C001298",1,5732,"C012734",5.363067
"C001299",5,21482,"C047883",2.482879
"C001301",2,868,"C001904",8.113608
"C001304",5,21482,"C047883",0.954059
"C001305",5,21482,"C047883",2.498788
"C001309",2,868,"C001904",6.613863
"C001311",4,9961,"C022249",2.690700
"C001312",3,16827,"C037407",6.332560
"C001313",4,9961,"C022249",3.746962
"C001314",0,5705,"C012675",4.371810
"C001318",1,5732,"C012734",4.986601
"C001319",5,21482,"C047883",12.910302
"C001323",5,21482,"C047883",9.382242
"C001326",5,21482,"C047883",12.935583
"C001327",3,16827,"C037407",5.422098
"C001328",2,868,"C001904",6.303907
"C001330",2,868,"C001904",11.098544
"C001331",4,9961,"C022249",5.271833
"C001336",3,16827,"C037407",3.189770
"C001337",5,21482,"C047883",7.051201
"C001338",3,16827,"C037407",7.953989
"C001342",2,868,"C001904",1.313514
"C001345",4,9961,"C022249",4.190411
"C001348",4,9961,"C022249",1.058749
"C001349",1,5732,"C012734",12.346555
"C001357",5,21482,"C047883",4.597829
"C001358",0,5705,"C012675",0.798352
"C001359",5,21482,"C047883",2.905133
"C001360",5,21482,"C047883",10.694905
"C001361",0,5705,"C012675",5.855500
"C001364",4,9961,"C022249",1.959334
"C001365",0,5705,"C012675",1.631475
"C001368",5,21482,"C047883",14.550847
"C001370",1,5732,"C012734",2.979341
"C001372",2,868,"C001904",5.203701
"C001376",1,5732,"C012734",11.798343
"C001378",0,5705,"C012675",4.268304
"C001382",5,21482,"C047883",0.103899
"C001385",2,868,"C001904",6.935123
"C001388",1,5732,"C012734",16.286334
"C001389",4,9961,"C022249",5.814254
"C001391",3,16827,"C037407",3.730807
"C001394",3,16827,"C037407",1.287932
"C001397",4,9961,"C022249",5.160392
"C001403",2,868,"C001904",6.234849
"C001405",2,868,"C001904",6.865400
"C001409",2,868,"C001904",7.277873
"C001412",4,9961,"C022249",3.106296
"C001417",5,21482,"C047883",8.135723
"C001419",0,5705,"C012675",1.513508
"C001423",0,5705,"C012675",7.750810
"C001426",1,5732,"C012734",1.974961
"C001430",0,5705,"C012675",2.236177
"C001431",1,5732,"C012734",15.520533
"C001433",0,5705,"C012675",8.979879
"C001434",0,5705,"C012675",7.312719
"C001435",4,9961,"C022249",3.692590
"C001437",5,21482,"C047883",12.335325
"C001439",5,21482,"C047883",11.521844
"C001443",0,5705,"C012675",6.356717
"C001445",1,5732,"C012734",12.252675
"C001451",3,16827,"C037407",1.802386
"C001452",1,5732,"C012734",8.182370
"C001454",3,16827,"C037407",6.077620
"C001459",2,868,"C001904",6.765341
"C001462",5,21482,"C047883",3.325817
"C001463",3,16827,"C037407",8.919174
"C001464",5,21482,"C047883",9.934743
"C001467",5,21482,"C047883",5.565427
"C001468",2,868,"C001904",2.095248
"C001469",1,5732,"C012734",11.922006
"C001471",1,5732,"C012734",2.048859
"C001473",1,5732,"C012734",5.623039
"C001476",3,16827,"C037407",8.517057
"C001477",0,5705,"C012675",3.716921
"C001482",4,9961,"C022249",2.648873
"C001485",3,16827,"C037407",2.989286
"C001486",0,5705,"C012675",0.941605
"C001487",1,5732,"C012734",3.873682
"C001490",1,5732,"C012734",3.303216
"C001492",2,868,"C001904",10.091299
"C001493",1,5732,"C012734",16.593462
"C001494",2,868,"C001904",6.637501
"C001497",0,5705,"C012675",3.848418
"C001498",0,5705,"C012675",5.596058
"C001500",5,21482,"C047883",3.396902
"C001502",5,21482,"C047883",2.297312
"C001506",0,5705,"C012675",4.866760
"C001507",2,868,"C001904",11.701742
"C001508",5,21482,"C047883",5.304396
"C001511",4,9961,"C022249",2.265566
"C001512",3,16827,"C037407",7.787956
"C001513",5,21482,"C047883",9.054826
"C001521",1,5732,"C012734",7.028984
"C001522",4,9961,"C022249",4.783581
"C001524",4,9961,"C022249",1.753052
"C001527",5,21482,"C047883",12.578591
"C001530",2,868,"C001904",8.013099
