Origin_Node_ID,Destination_Node_ID,Distance_km,Travel_Time_min,Traffic_Level,Road_Restrictions,Velocity
D001_1,C038336,20.495,69.9,Medium,,17.59227467811159
D001_2,C046820,20.491,69.9,Medium,,17.588841201716736
D001_1,C020626,20.485,69.8,Medium,No Heavy Trucks,17.60888252148997
D001_4,C029271,20.481,69.8,Medium,,17.6054441260745
D001_4,C001190,20.478,55.8,Low,,22.01935483870968
D001_3,C046151,20.464,89.3,High,,13.749608062709965
D001_1,C024990,20.448,69.7,Medium,,17.602295552367288
D001_1,C032410,20.436,69.7,Medium,,17.591965566714492
D001_1,C013673,20.415,69.6,Medium,,17.599137931034484
D001_4,C029753,20.403,89.0,High,,13.754831460674156
D001_2,C001614,20.403,89.0,High,One-Way,13.754831460674156
D001_4,C003652,20.399,89.0,High,One-Way,13.752134831460674
D001_1,C039879,20.395,69.5,Medium,One-Way,17.607194244604315
D001_4,C040783,20.391,69.5,Medium,,17.60374100719424
D001_4,C048509,20.381,69.5,Medium,,17.595107913669064
D001_1,C004887,20.381,55.6,Low,,21.99388489208633
D001_2,C005851,20.374,88.9,High,,13.750731158605173
D001_3,C028356,20.371,88.9,High,No Heavy Trucks,13.748706411698537
D001_4,C047234,20.369,69.4,Medium,,17.610086455331412
D001_2,C034896,20.368,88.9,High,No Heavy Trucks,13.7466816647919
D001_2,C048141,20.367,55.5,Low,No Heavy Trucks,22.01837837837838
D001_3,C049934,20.365,69.4,Medium,One-Way,17.606628242074926
D001_1,C032362,20.364,69.4,Medium,No Heavy Trucks,17.605763688760806
D001_4,C012254,20.361,55.5,Low,,22.011891891891892
D001_1,C008188,20.356,69.4,Medium,No Heavy Trucks,17.59884726224784
D001_2,C025516,20.354,69.4,Medium,,17.597118155619594
D001_1,C012897,20.353,55.5,Low,,22.003243243243244
D001_1,C000097,20.348,69.4,Medium,,17.591930835734868
D001_2,C045661,20.345,69.4,Medium,,17.589337175792505
D001_3,C013093,20.343,55.5,Low,No Heavy Trucks,21.99243243243243
D001_1,C042871,20.339,88.8,High,,13.742567567567567
D001_3,C014114,20.332,69.3,Medium,,17.603463203463203
D001_3,C009985,20.329,69.3,Medium,,17.6008658008658
D001_4,C027078,20.328,69.3,Medium,,17.599999999999998
D001_4,C020998,20.322,69.3,Medium,,17.594805194805193
D001_4,C041630,20.313,55.4,Low,,21.999638989169675
D001_1,C044284,20.31,69.2,Medium,,17.609826589595375
D001_4,C044822,20.308,55.4,Low,,21.9942238267148
D001_2,C026020,20.305,88.6,High,,13.75056433408578
D001_2,C039243,20.297,55.4,Low,No Heavy Trucks,21.98231046931408
D001_4,C041689,20.293,69.2,Medium,,17.595086705202313
D001_3,C047168,20.293,88.6,High,,13.742437923250565
D001_2,C011552,20.289,69.2,Medium,One-Way,17.591618497109828
D001_2,C045115,20.289,69.2,Medium,One-Way,17.591618497109828
D001_1,C049085,20.284,69.1,Medium,,17.61273516642547
D001_3,C007825,20.277,69.1,Medium,,17.606657018813316
D001_1,C015691,20.276,55.3,Low,,21.999276672694396
D001_1,C044135,20.266,69.1,Medium,,17.59710564399421
D001_3,C008350,20.259,69.1,Medium,No Heavy Trucks,17.591027496382058
D001_2,C019692,20.259,88.4,High,,13.750452488687783
D001_4,C010967,20.255,69.1,Medium,No Heavy Trucks,17.587554269175108
D001_4,C049350,20.255,69.1,Medium,,17.587554269175108
D001_4,C014786,20.252,69.0,Medium,,17.610434782608696
D001_3,C024028,20.252,69.0,Medium,,17.610434782608696
D001_1,C016169,20.249,69.0,Medium,One-Way,17.60782608695652
D001_1,C008347,20.247,69.0,Medium,,17.60608695652174
D001_1,C030196,20.245,88.3,High,,13.756511891279729
D001_1,C006713,20.237,55.2,Low,,21.99673913043478
D001_1,C012695,20.227,55.2,Low,,21.985869565217392
D001_2,C013198,20.227,88.3,High,No Heavy Trucks,13.744280860702151
D001_1,C015836,20.22,68.9,Medium,No Heavy Trucks,17.608127721335265
D001_4,C040763,20.214,88.2,High,,13.751020408163265
D001_3,C007849,20.213,88.2,High,,13.750340136054422
D001_1,C007605,20.207,55.1,Low,,22.00399274047187
D001_1,C020292,20.204,68.9,Medium,One-Way,17.59419448476052
D001_1,C009039,20.202,68.9,Medium,,17.59245283018868
D001_1,C018171,20.202,55.1,Low,,21.998548094373866
D001_2,C049894,20.199,55.1,Low,One-Way,21.995281306715064
D001_4,C021724,20.196,68.9,Medium,,17.58722786647315
D001_1,C013024,20.192,68.8,Medium,,17.609302325581396
D001_2,C029959,20.187,68.8,Medium,,17.604941860465118
D001_4,C043719,20.184,55.0,Low,,22.018909090909094
D001_3,C009622,20.184,88.1,High,No Heavy Trucks,13.746197502837687
D001_2,C043106,20.184,68.8,Medium,,17.60232558139535
D001_3,C039796,20.18,68.8,Medium,,17.598837209302324
D001_2,C002816,20.179,68.8,Medium,,17.597965116279067
D001_2,C013314,20.169,68.8,Medium,,17.58924418604651
D001_4,C039551,20.168,68.8,Medium,,17.588372093023253
D001_3,C040590,20.168,68.8,Medium,,17.588372093023253
D001_3,C006636,20.167,68.8,Medium,,17.587500000000002
D001_3,C016276,20.165,68.7,Medium,No Heavy Trucks,17.611353711790393
D001_4,C039994,20.161,68.7,Medium,,17.607860262008735
D001_3,C017243,20.161,88.0,High,,13.746136363636365
D001_1,C015744,20.161,88.0,High,,13.746136363636365
D001_1,C019129,20.161,68.7,Medium,No Heavy Trucks,17.607860262008735
D001_1,C023697,20.161,88.0,High,,13.746136363636365
D001_4,C012241,20.16,68.7,Medium,,17.606986899563317
D001_4,C000680,20.159,55.0,Low,,21.991636363636363
D001_4,C038153,20.155,68.7,Medium,,17.602620087336245
D001_4,C038741,20.15,68.7,Medium,,17.59825327510917
D001_2,C021425,20.149,68.7,Medium,No Heavy Trucks,17.597379912663754
D001_4,C023239,20.136,68.6,Medium,No Heavy Trucks,17.611661807580173
D001_1,C029205,20.133,68.6,Medium,No Heavy Trucks,17.609037900874636
D001_1,C043403,20.128,68.6,Medium,No Heavy Trucks,17.60466472303207
D001_1,C017724,20.121,54.9,Low,No Heavy Trucks,21.99016393442623
D001_3,C032874,20.12,68.6,Medium,No Heavy Trucks,17.597667638483966
D001_2,C005445,20.117,68.6,Medium,,17.59504373177843
D001_3,C046147,20.111,54.8,Low,,22.01934306569343
D001_4,C003400,20.108,68.5,Medium,,17.61284671532847
D001_4,C046696,20.108,68.5,Medium,,17.61284671532847
D001_1,C042171,20.103,68.5,Medium,,17.608467153284675
D001_1,C006022,20.098,68.5,Medium,,17.604087591240877
D001_4,C004149,20.094,68.5,Medium,No Heavy Trucks,17.60058394160584
D001_4,C002227,20.093,68.5,Medium,,17.59970802919708
D001_1,C018182,20.091,68.5,Medium,,17.597956204379564
D001_2,C013587,20.088,68.5,Medium,,17.595328467153287
D001_2,C000010,20.087,54.8,Low,,21.99306569343066
D001_3,C047417,20.084,87.6,High,,13.756164383561645
D001_1,C003012,20.084,68.5,Medium,,17.591824817518248
D001_4,C008713,20.082,87.6,High,,13.754794520547946
D001_3,C010603,20.082,87.6,High,,13.754794520547946
D001_4,C011795,20.079,68.5,Medium,,17.587445255474453
D001_2,C006721,20.078,87.6,High,One-Way,13.752054794520548
D001_2,C007835,20.078,87.6,High,,13.752054794520548
D001_4,C009290,20.077,68.4,Medium,One-Way,17.61140350877193
D001_4,C018804,20.068,68.4,Medium,,17.603508771929825
D001_4,C030948,20.068,87.6,High,,13.745205479452055
D001_1,C010380,20.064,68.4,Medium,,17.599999999999998
D001_3,C014259,20.063,68.4,Medium,,17.59912280701754
D001_4,C010491,20.059,87.5,High,,13.754742857142858
D001_2,C020135,20.056,68.4,Medium,,17.59298245614035
D001_3,C015845,20.055,87.5,High,,13.752
D001_2,C020267,20.048,87.5,High,,13.7472
D001_1,C017520,20.046,87.5,High,,13.745828571428572
D001_1,C027803,20.039,68.3,Medium,,17.603806734992684
D001_2,C048356,20.039,68.3,Medium,,17.603806734992684
D001_3,C002104,20.038,87.4,High,,13.756064073226543
D001_1,C030199,20.036,68.3,Medium,,17.601171303074675
D001_3,C019621,20.035,87.4,High,No Heavy Trucks,13.754004576659037
D001_1,C009625,20.035,68.3,Medium,No Heavy Trucks,17.60029282576867
D001_2,C044389,20.029,54.6,Low,,22.009890109890108
D001_4,C031767,20.027,68.3,Medium,,17.593265007320646
D001_4,C021529,20.009,68.2,Medium,,17.60322580645161
D001_1,C010567,20.004,54.6,Low,One-Way,21.982417582417582
D001_3,C027928,20.003,87.3,High,,13.747766323024056
D001_1,C004789,20.002,68.2,Medium,One-Way,17.59706744868035
D001_3,C015296,20.001,54.5,Low,,22.019449541284406
D001_2,C022213,19.996,54.5,Low,,22.01394495412844
D001_3,C049806,19.993,68.2,Medium,,17.5891495601173
D001_5,C046151,19.991,68.2,Medium,,17.587390029325512
D001_4,C039973,19.99,54.5,Low,,22.007339449541284
D001_3,C002259,19.99,68.1,Medium,,17.612334801762113
D001_3,C042918,19.986,68.1,Medium,,17.608810572687226
D001_4,C017978,19.985,68.1,Medium,,17.6079295154185
D001_4,C003137,19.98,68.1,Medium,One-Way,17.60352422907489
D001_4,C028660,19.973,87.2,High,,13.74288990825688
D001_4,C015608,19.97,68.1,Medium,No Heavy Trucks,17.594713656387665
D001_1,C003471,19.968,54.5,Low,,21.983119266055045
D001_3,C027304,19.966,68.1,Medium,,17.591189427312777
D001_1,C042346,19.965,87.1,High,,13.753157290470723
D001_1,C044801,19.965,68.1,Medium,,17.590308370044053
D001_4,C023446,19.961,68.0,Medium,,17.61264705882353
D001_1,C037469,19.96,54.4,Low,,22.014705882352942
D001_3,C012172,19.958,68.0,Medium,,17.61
D001_2,C047904,19.958,68.0,Medium,One-Way,17.61
D001_4,C049250,19.95,54.4,Low,,22.003676470588236
D001_2,C025536,19.948,68.0,Medium,,17.601176470588236
D001_3,C019500,19.939,68.0,Medium,,17.593235294117648
D001_3,C038543,19.938,54.4,Low,,21.99044117647059
D001_1,C018929,19.936,87.0,High,,13.74896551724138
D001_4,C047309,19.933,87.0,High,,13.746896551724138
D001_3,C039564,19.931,67.9,Medium,No Heavy Trucks,17.6120765832106
D001_1,C014966,19.929,87.0,High,One-Way,13.744137931034482
D001_1,C003076,19.927,67.9,Medium,,17.608541973490425
D001_1,C008308,19.924,67.9,Medium,,17.605891016200292
D001_1,C034670,19.924,54.3,Low,,22.01546961325967
D001_1,C041013,19.923,67.9,Medium,,17.605007363770245
D001_4,C038336,19.921,86.9,High,,13.754430379746834
D001_1,C043916,19.921,54.3,Low,,22.012154696132598
D001_3,C006841,19.919,54.3,Low,,22.00994475138122
D001_1,C045329,19.916,67.9,Medium,One-Way,17.59882179675994
D001_2,C011198,19.914,67.9,Medium,No Heavy Trucks,17.59705449189985
D001_1,C001038,19.911,67.9,Medium,One-Way,17.594403534609718
D001_1,C040331,19.911,86.9,High,,13.747525891829689
D001_3,C024092,19.91,67.9,Medium,,17.593519882179674
D001_3,C049619,19.909,67.9,Medium,,17.59263622974963
D001_3,C029271,19.908,67.9,Medium,,17.591752577319586
D001_2,C023944,19.908,54.3,Low,,21.997790055248622
D001_2,C015131,19.903,67.9,Medium,No Heavy Trucks,17.587334315169365
D001_5,C028356,19.899,67.8,Medium,,17.60973451327434
D001_2,C028524,19.895,86.8,High,,13.75230414746544
D001_4,C020626,19.892,67.8,Medium,,17.603539823008852
D001_2,C004596,19.89,54.2,Low,No Heavy Trucks,22.018450184501845
D001_1,C021360,19.883,67.8,Medium,No Heavy Trucks,17.59557522123894
D001_2,C014447,19.883,67.8,Medium,,17.59557522123894
D001_4,C009967,19.875,86.7,High,,13.75432525951557
D001_2,C034358,19.873,86.7,High,One-Way,13.75294117647059
D001_3,C008668,19.872,86.7,High,,13.752249134948096
D001_3,C042831,19.872,54.2,Low,No Heavy Trucks,21.99852398523985
D001_3,C022720,19.869,86.7,High,,13.750173010380623
D001_1,C027473,19.866,54.2,Low,,21.991881918819185
D001_1,C019056,19.863,67.7,Medium,,17.603840472673557
D001_3,C034635,19.855,67.7,Medium,One-Way,17.59675036927622
D001_3,C017013,19.854,54.1,Low,,22.019223659889093
D001_3,C011837,19.849,67.7,Medium,One-Way,17.591432791728213
D001_1,C000104,19.848,67.7,Medium,,17.590546528803543
D001_1,C041359,19.848,67.7,Medium,,17.590546528803543
D001_3,C001190,19.847,54.1,Low,,22.011460258780037
D001_2,C040733,19.845,86.6,High,,13.749422632794458
D001_1,C000326,19.844,86.6,High,,13.74872979214781
D001_1,C015261,19.844,67.7,Medium,,17.587001477104874
D001_1,C035351,19.838,67.6,Medium,,17.60769230769231
D001_2,C017154,19.837,86.6,High,,13.743879907621249
D001_1,C024006,19.834,86.5,High,,13.757687861271677
D001_1,C049674,19.832,67.6,Medium,,17.602366863905328
D001_5,C009985,19.832,67.6,Medium,,17.602366863905328
D001_3,C022361,19.83,67.6,Medium,,17.600591715976332
D001_1,C002501,19.83,67.6,Medium,,17.600591715976332
D001_3,C002277,19.829,86.5,High,,13.754219653179192
D001_2,C043665,19.822,86.5,High,,13.74936416184971
D001_1,C017173,19.821,86.5,High,,13.748670520231215
D001_4,C024990,19.816,54.0,Low,,22.017777777777777
D001_1,C047428,19.811,54.0,Low,,22.01222222222222
D001_2,C033980,19.807,86.4,High,One-Way,13.754861111111108
D001_3,C000769,19.805,67.5,Medium,,17.604444444444443
D001_3,C006593,19.804,67.5,Medium,,17.603555555555555
D001_1,C006612,19.804,67.5,Medium,,17.603555555555555
D001_3,C041155,19.802,67.5,Medium,,17.601777777777777
D001_4,C004887,19.801,54.0,Low,,22.001111111111108
D001_3,C002255,19.8,67.5,Medium,,17.6
D001_3,C003652,19.8,67.5,Medium,,17.6
D001_2,C013638,19.797,67.5,Medium,,17.597333333333335
D001_5,C007825,19.795,67.5,Medium,,17.595555555555556
D001_4,C032410,19.793,67.5,Medium,,17.593777777777778
D001_3,C021231,19.786,86.3,High,,13.75619930475087
D001_1,C001409,19.786,54.0,Low,,21.984444444444446
D001_3,C029753,19.783,67.4,Medium,,17.610979228486645
D001_2,C020814,19.782,67.4,Medium,,17.61008902077151
D001_4,C012897,19.78,86.3,High,,13.75202780996524
D001_4,C039879,19.779,86.3,High,,13.7513325608343
D001_1,C008263,19.779,67.4,Medium,,17.60741839762611
D001_4,C032362,19.778,53.9,Low,One-Way,22.016326530612243
D001_4,C013673,19.777,86.3,High,,13.749942062572423
D001_2,C021699,19.774,67.4,Medium,,17.602967359050442
D001_1,C043993,19.77,86.3,High,,13.745075318655852
D001_4,C008188,19.769,86.3,High,,13.744380069524913
D001_1,C028042,19.767,67.4,Medium,,17.596735905044508
D001_2,C035653,19.767,67.4,Medium,,17.596735905044508
D001_3,C012254,19.764,53.9,Low,,22.00074211502783
D001_1,C039694,19.754,67.3,Medium,,17.611292719167906
D001_1,C032762,19.753,67.3,Medium,No Heavy Trucks,17.610401188707282
D001_3,C044822,19.752,86.2,High,,13.748491879350347
D001_3,C023324,19.749,67.3,Medium,,17.606835066864786
D001_2,C022017,19.749,53.9,Low,,21.98404452690167
D001_3,C020715,19.747,53.9,Low,One-Way,21.98181818181818
D001_3,C015271,19.746,86.2,High,One-Way,13.744315545243618
D001_2,C010394,19.745,53.9,Low,,21.979591836734695
D001_2,C011900,19.737,53.8,Low,No Heavy Trucks,22.011524163568772
D001_3,C012435,19.731,67.3,Medium,,17.590787518573553
D001_3,C048509,19.726,67.2,Medium,,17.612499999999997
D001_1,C023341,19.724,67.2,Medium,,17.610714285714284
D001_2,C012866,19.724,67.2,Medium,No Heavy Trucks,17.610714285714284
D001_2,C044049,19.724,53.8,Low,,21.997026022304834
D001_3,C033900,19.723,67.2,Medium,,17.609821428571426
D001_1,C035208,19.722,67.2,Medium,,17.60892857142857
D001_1,C013206,19.721,67.2,Medium,,17.608035714285712
D001_1,C007966,19.719,53.8,Low,,21.991449814126398
D001_1,C030619,19.713,67.2,Medium,,17.600892857142856
D001_2,C028212,19.712,86.0,High,,13.752558139534884
D001_4,C049085,19.711,86.0,High,,13.751860465116279
D001_3,C036852,19.711,67.2,Medium,,17.59910714285714
D001_1,C003071,19.709,53.8,Low,One-Way,21.98029739776952
D001_1,C017556,19.709,67.2,Medium,,17.597321428571426
D001_3,C015062,19.708,67.2,Medium,,17.596428571428568
D001_3,C016914,19.705,67.2,Medium,,17.593749999999996
D001_3,C033234,19.704,86.0,High,,13.746976744186046
D001_1,C036082,19.704,67.2,Medium,,17.59285714285714
D001_3,C035622,19.702,53.7,Low,,22.013407821229052
D001_4,C000097,19.7,67.2,Medium,,17.58928571428571
D001_3,C047234,19.694,85.9,High,One-Way,13.755995343422581
D001_2,C018703,19.694,85.9,High,One-Way,13.755995343422581
D001_5,C016276,19.694,53.7,Low,,22.004469273743016
D001_1,C036360,19.692,67.1,Medium,No Heavy Trucks,17.60834575260805
D001_5,C017243,19.69,85.9,High,,13.753201396973223
D001_4,C042871,19.689,53.7,Low,,21.998882681564247
D001_3,C004358,19.688,85.9,High,,13.751804423748542
D001_2,C005503,19.687,85.9,High,,13.751105937136204
D001_4,C030196,19.686,67.1,Medium,,17.602980625931448
D001_4,C044284,19.686,67.1,Medium,,17.602980625931448
D001_1,C037004,19.686,67.1,Medium,,17.602980625931448
D001_1,C028516,19.685,67.1,Medium,No Heavy Trucks,17.602086438152014
D001_1,C020028,19.683,67.1,Medium,,17.600298062593147
D001_3,C029186,19.68,67.1,Medium,No Heavy Trucks,17.597615499254847
D001_4,C015691,19.678,85.9,High,,13.744819557625144
D001_2,C002564,19.674,85.9,High,,13.742025611175784
D001_1,C001144,19.672,53.7,Low,,21.979888268156426
D001_1,C008855,19.669,67.1,Medium,,17.587779433681074
D001_1,C049504,19.667,67.0,Medium,,17.61223880597015
D001_3,C003926,19.665,67.0,Medium,,17.610447761194028
D001_3,C020998,19.663,53.6,Low,,22.01082089552239
D001_3,C008986,19.662,53.6,Low,One-Way,22.009701492537314
D001_3,C012241,19.661,67.0,Medium,No Heavy Trucks,17.606865671641792
D001_4,C006713,19.66,67.0,Medium,,17.605970149253732
D001_1,C031222,19.658,53.6,Low,,22.00522388059702
D001_3,C041689,19.653,67.0,Medium,,17.59970149253731
D001_3,C038741,19.652,53.6,Low,,21.998507462686568
D001_3,C040783,19.652,67.0,Medium,,17.598805970149254
D001_3,C041567,19.651,67.0,Medium,,17.597910447761194
D001_2,C022147,19.647,53.6,Low,,21.992910447761194
D001_2,C009889,19.646,67.0,Medium,,17.593432835820895
D001_3,C043719,19.645,53.6,Low,,21.990671641791046
D001_4,C015836,19.644,67.0,Medium,,17.591641791044776
D001_4,C008347,19.64,67.0,Medium,,17.588059701492536
D001_3,C040763,19.638,85.7,High,No Heavy Trucks,13.748891481913653
D001_3,C017103,19.635,85.7,High,,13.746791131855309
D001_3,C027078,19.635,66.9,Medium,,17.609865470852018
D001_4,C020292,19.633,85.7,High,One-Way,13.745390898483079
D001_3,C023239,19.632,85.7,High,,13.744690781796965
D001_2,C010769,19.629,85.7,High,,13.742590431738623
D001_4,C044135,19.627,85.6,High,,13.757242990654206
D001_3,C033145,19.626,66.9,Medium,,17.601793721973095
D001_2,C048656,19.624,85.6,High,,13.755140186915888
D001_1,C018047,19.62,66.9,Medium,No Heavy Trucks,17.596412556053814
D001_1,C041018,19.62,85.6,High,No Heavy Trucks,13.752336448598133
D001_2,C006569,19.616,85.6,High,,13.749532710280375
D001_3,C038077,19.615,66.9,Medium,,17.591928251121075
D001_4,C022324,19.614,66.9,Medium,,17.59103139013453
D001_1,C044524,19.613,85.6,High,No Heavy Trucks,13.747429906542058
D001_1,C015960,19.611,85.6,High,,13.74602803738318
D001_2,C047181,19.61,66.9,Medium,No Heavy Trucks,17.58744394618834
D001_3,C032259,19.606,85.6,High,,13.742523364485983
D001_3,C046696,19.606,53.5,Low,,21.98803738317757
D001_1,C045113,19.604,53.5,Low,,21.985794392523363
D001_3,C010967,19.602,66.8,Medium,,17.606586826347307
D001_1,C036428,19.602,66.8,Medium,,17.606586826347307
D001_1,C014449,19.601,53.5,Low,,21.982429906542055
D001_3,C049350,19.599,66.8,Medium,,17.603892215568862
D001_1,C036609,19.599,66.8,Medium,,17.603892215568862
D001_4,C016169,19.597,53.4,Low,One-Way,22.019101123595508
D001_3,C003400,19.596,66.8,Medium,,17.60119760479042
D001_3,C041630,19.596,66.8,Medium,,17.60119760479042
D001_4,C007605,19.594,53.4,Low,,22.015730337078654
D001_4,C015744,19.593,85.5,High,,13.749473684210527
D001_3,C008234,19.592,66.8,Medium,,17.59760479041916
D001_1,C032548,19.591,85.5,High,,13.748070175438597
D001_4,C013024,19.59,66.8,Medium,,17.595808383233532
D001_4,C023697,19.59,85.5,High,One-Way,13.74736842105263
D001_1,C017896,19.59,53.4,Low,,22.01123595505618
D001_2,C032731,19.59,66.8,Medium,,17.595808383233532
D001_4,C009039,19.589,53.4,Low,,22.01011235955056
D001_2,C022347,19.589,66.8,Medium,One-Way,17.594910179640717
D001_3,C002227,19.588,53.4,Low,,22.008988764044943
D001_1,C037459,19.58,66.7,Medium,One-Way,17.613193403298347
D001_3,C030948,19.578,85.4,High,,13.75503512880562
D001_4,C012695,19.577,66.7,Medium,,17.610494752623687
D001_1,C019006,19.575,66.7,Medium,,17.60869565217391
D001_3,C049524,19.574,66.7,Medium,,17.607796101949024
D001_2,C049470,19.57,66.7,Medium,,17.604197901049474
D001_3,C038153,19.568,85.4,High,,13.7480093676815
D001_2,C003293,19.565,66.7,Medium,One-Way,17.599700149925038
D001_5,C014259,19.565,66.7,Medium,,17.599700149925038
D001_1,C025195,19.564,66.7,Medium,,17.598800599700148
D001_2,C029856,19.562,66.7,Medium,,17.597001499250375
D001_2,C029627,19.558,66.7,Medium,,17.59340329835082
D001_1,C013868,19.556,66.7,Medium,,17.59160419790105
D001_1,C037037,19.556,66.7,Medium,,17.59160419790105
D001_3,C022521,19.554,66.7,Medium,,17.589805097451272
D001_3,C009580,19.552,53.3,Low,No Heavy Trucks,22.009756097560977
D001_1,C021386,19.552,66.7,Medium,,17.588005997001495
